                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.811,                0.91449,                0.93766,                0.41526,                0.10846,                0.10875,                0.03072,                 2.9061,                 2.2089,                 1.1242,              0.0004065,              0.0004065,              0.0004065
                      2,                 1.8348,                  0.919,                0.95653,                0.18452,                0.11514,                0.11722,                0.03087,                 2.9221,                 2.2763,                  1.109,             0.00081665,             0.00081665,             0.00081665
                      3,                 1.8692,                0.96361,                0.94607,                0.30685,                0.30582,                0.27732,                0.08965,                 2.5546,                 1.5843,                 1.0439,              0.0012202,              0.0012202,              0.0012202
                      4,                 1.8928,                0.98711,                0.94579,                0.06335,                0.01089,                0.03361,                 0.0112,                 3.4417,                 5.3704,                 1.3241,              0.0012203,              0.0012203,              0.0012203
                      5,                 1.8864,                0.97785,                0.96473,                0.00222,                0.00239,                0.00142,                0.00037,                 3.5162,                 6.3974,                 1.3054,              0.0012104,              0.0012104,              0.0012104
                      6,                 1.8988,                0.99981,                0.96561,                0.38076,                0.16814,                0.13132,                0.03895,                 2.7608,                 1.7536,                 1.0832,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.9118,                0.99302,                0.96095,                 0.6064,                0.35683,                0.33168,                0.12184,                 2.5392,                 1.4421,                 1.0405,              0.0011906,              0.0011906,              0.0011906
                      8,                 1.9044,                 1.0155,                0.95689,                0.64908,                0.35353,                0.34595,                0.11074,                 2.5346,                 1.4813,                 1.0457,              0.0011807,              0.0011807,              0.0011807
                      9,                 1.9256,                 1.0119,                0.97173,                0.37366,                 0.2928,                0.32548,                 0.1076,                 2.5837,                 1.5201,                 1.0546,              0.0011708,              0.0011708,              0.0011708
                     10,                 1.9131,                 1.0033,                0.95801,                0.34663,                 0.3291,                0.29273,                0.10734,                 2.5985,                 1.6446,                 1.0664,              0.0011609,              0.0011609,              0.0011609
                     11,                  1.892,                0.99058,                  0.966,                0.64717,                0.31434,                0.29468,                0.09952,                 2.5744,                 1.4937,                 1.0651,               0.001151,               0.001151,               0.001151
                     12,                 1.9018,                0.98974,                0.96574,                0.31215,                0.50436,                0.33751,                0.12658,                 2.5435,                 1.4552,                   1.03,              0.0011411,              0.0011411,              0.0011411
                     13,                 1.9144,                 1.0068,                0.96087,                0.43911,                0.15457,                0.11977,                0.03444,                 2.9101,                 1.9615,                 1.1449,              0.0011312,              0.0011312,              0.0011312
                     14,                 1.8942,                0.99803,                0.96127,                0.55538,                0.33851,                0.29616,                0.11098,                 2.5779,                 1.4843,                 1.0512,              0.0011213,              0.0011213,              0.0011213
                     15,                 1.8746,                0.97014,                0.95609,                0.62172,                0.28047,                0.31707,                0.10679,                 2.5092,                 1.4212,                 1.0327,              0.0011114,              0.0011114,              0.0011114
                     16,                  1.896,                0.99169,                0.95498,                0.06186,                0.07728,                 0.0467,                0.01344,                 3.1796,                 3.8402,                   1.22,              0.0011015,              0.0011015,              0.0011015
                     17,                 1.9026,                0.98542,                 0.9608,                0.30387,                0.17895,                0.18665,                0.06743,                 2.6945,                 1.6568,                 1.0701,              0.0010916,              0.0010916,              0.0010916
                     18,                 1.9377,                0.99977,                0.95784,                0.65268,                0.32949,                0.31976,                0.10122,                 2.5623,                 1.4803,                 1.0293,              0.0010817,              0.0010817,              0.0010817
                     19,                 1.9241,                 1.0049,                0.97224,                0.07167,                0.01641,                0.03885,                0.01075,                 3.4425,                 5.5511,                 1.2531,              0.0010718,              0.0010718,              0.0010718
                     20,                 1.9036,                 1.0001,                0.95647,                0.64458,                0.23907,                0.25725,                0.07042,                 2.6338,                 1.7276,                 1.0623,              0.0010619,              0.0010619,              0.0010619
                     21,                 1.8511,                0.95455,                0.95817,                0.25113,                0.33274,                0.22645,                0.07445,                 2.5825,                 1.5451,                  1.038,               0.001052,               0.001052,               0.001052
                     22,                 1.8909,                0.97558,                0.96754,                0.55888,                0.17507,                0.16534,                0.05267,                 2.6617,                 1.6152,                 1.0683,              0.0010421,              0.0010421,              0.0010421
                     23,                 1.8923,                0.96844,                0.96591,                0.49719,                0.15098,                0.15157,                0.04044,                 2.8469,                 1.8427,                 1.0941,              0.0010322,              0.0010322,              0.0010322
                     24,                 1.8708,                0.96923,                0.95644,                0.01128,                0.00358,                0.00705,                0.00173,                 3.4748,                 6.1102,                 1.2973,              0.0010223,              0.0010223,              0.0010223
                     25,                 1.8854,                0.97715,                0.96025,                0.64287,                0.34872,                 0.3112,                0.10593,                 2.5666,                 1.5513,                 1.0398,              0.0010124,              0.0010124,              0.0010124
                     26,                 1.8682,                0.95733,                0.95959,                0.63334,                0.29046,                0.29414,                  0.106,                 2.5105,                 1.5024,                 1.0295,              0.0010025,              0.0010025,              0.0010025
                     27,                 1.8866,                0.96536,                0.95813,                0.57828,                0.29144,                0.24671,                0.07813,                 2.5577,                 1.4532,                 1.0393,              0.0009926,              0.0009926,              0.0009926
                     28,                 1.8696,                0.97324,                0.95226,                0.64861,                0.42175,                0.37816,                0.12492,                 2.4782,                 1.4326,                 1.0309,              0.0009827,              0.0009827,              0.0009827
                     29,                 1.8388,                 0.9473,                0.95308,                0.46194,                0.30297,                0.22909,                0.06754,                 2.6567,                 1.5989,                 1.0699,              0.0009728,              0.0009728,              0.0009728
                     30,                 1.8522,                0.95722,                0.94742,                0.64555,                0.29771,                0.30075,                0.10092,                 2.6239,                 1.5333,                 1.0572,              0.0009629,              0.0009629,              0.0009629
                     31,                 1.8285,                0.94676,                0.94794,                0.37603,                 0.0903,                0.07779,                0.02004,                 3.1108,                 2.3647,                 1.1677,               0.000953,               0.000953,               0.000953
                     32,                 1.8662,                0.95934,                0.95389,                0.65567,                0.29099,                0.29491,                0.09934,                 2.5128,                 1.5073,                 1.0274,              0.0009431,              0.0009431,              0.0009431
                     33,                 1.8619,                0.96033,                0.95407,                0.05422,                0.04297,                0.03405,                0.01085,                 3.2738,                 4.5823,                 1.2142,              0.0009332,              0.0009332,              0.0009332
                     34,                  1.853,                0.95401,                 0.9582,                 0.5332,                0.22886,                0.18732,                0.05963,                 2.7599,                 1.7578,                 1.1145,              0.0009233,              0.0009233,              0.0009233
                     35,                 1.8653,                0.94617,                0.95464,                0.46884,                0.15702,                0.10083,                0.03189,                 2.9418,                 2.5434,                 1.1489,              0.0009134,              0.0009134,              0.0009134
                     36,                 1.8618,                0.96663,                0.95032,                 0.5635,                0.36043,                0.28664,                0.09759,                 2.5517,                 1.4927,                 1.0516,              0.0009035,              0.0009035,              0.0009035
                     37,                 1.8709,                0.95982,                0.95967,                 0.6446,                0.32529,                0.27621,                0.08282,                 2.5778,                 1.5654,                 1.0514,              0.0008936,              0.0008936,              0.0008936
                     38,                 1.8552,                0.96158,                0.95042,                0.07053,                0.11876,                0.07011,                0.02159,                 3.0495,                 3.3629,                 1.1883,              0.0008837,              0.0008837,              0.0008837
                     39,                 1.8282,                0.94652,                0.95909,                 0.6345,                0.34929,                0.30765,                0.09733,                 2.5718,                 1.5394,                 1.0405,              0.0008738,              0.0008738,              0.0008738
