                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3606,                 102.26,                 3.3014,                      0,                      0,                      0,                      0,                 3.4633,                 23.366,                 2.0953,              0.0002375,              0.0002375,              0.0002375
                      2,                  6.101,                 64.989,                  3.546,                      0,                      0,                      0,                      0,                 3.4623,                 25.051,                 2.1197,             0.00048676,             0.00048676,             0.00048676
                      3,                 5.1604,                 15.212,                 2.9568,                      0,                      0,                      0,                      0,                 3.4602,                  7.412,                 2.1702,             0.00073525,             0.00073525,             0.00073525
                      4,                 4.3028,                 6.5048,                 2.2987,                      0,                      0,                      0,                      0,                 3.4553,                 21.802,                 2.1225,             0.00098299,             0.00098299,             0.00098299
                      5,                 4.1117,                 4.5423,                   1.84,                      0,                      0,                      0,                      0,                 3.3898,                 49.451,                 2.3585,                0.00123,                0.00123,                0.00123
                      6,                 3.8366,                 3.8163,                 1.5586,                0.00346,                0.08644,                0.00357,                0.00078,                 3.5442,                 3.5413,                 1.6481,              0.0012405,              0.0012405,              0.0012405
                      7,                 3.6521,                 3.4704,                 1.5045,                0.79103,                0.01258,                0.00807,                  0.002,                 3.3989,                 2.9707,                 1.4777,              0.0012386,              0.0012386,              0.0012386
                      8,                 3.4662,                 3.1843,                  1.413,                0.28735,                0.05786,                0.02217,                0.00627,                 2.9262,                 2.5347,                 1.3022,              0.0012367,              0.0012367,              0.0012367
                      9,                 3.3849,                 3.1337,                 1.3462,                0.28902,                0.01939,                 0.0126,                0.00341,                 3.2254,                 2.6759,                 1.3688,              0.0012348,              0.0012348,              0.0012348
                     10,                 3.2861,                 2.9949,                 1.3181,                0.28902,                0.01939,                 0.0126,                0.00341,                 3.2001,                 66.678,                 1.7534,              0.0012329,              0.0012329,              0.0012329
                     11,                 3.1798,                 2.8408,                 1.2923,                0.00181,                 0.0132,                0.00249,                0.00062,                 3.5782,                 3.6272,                 1.5824,               0.001231,               0.001231,               0.001231
                     12,                  3.195,                 2.8481,                 1.2437,                 0.0033,                0.03288,                 0.0044,                0.00127,                 2.9285,                  3.243,                 1.5266,              0.0012291,              0.0012291,              0.0012291
                     13,                 3.0838,                 2.6754,                 1.2214,                0.01794,                0.18709,                0.02519,                0.00664,                 3.1136,                 2.9881,                 1.3497,              0.0012272,              0.0012272,              0.0012272
                     14,                 3.0389,                 2.7342,                 1.2243,                 0.3525,                0.06753,                0.04314,                0.01223,                  2.841,                 2.2108,                  1.243,              0.0012252,              0.0012252,              0.0012252
                     15,                 2.9999,                 2.7503,                 1.2162,                0.35272,                0.08623,                0.05121,                0.01864,                 2.6674,                 2.0532,                 1.1878,              0.0012233,              0.0012233,              0.0012233
                     16,                 2.9054,                 2.5836,                 1.1744,                0.38199,                 0.1129,                0.08667,                0.03019,                 2.6595,                 1.8405,                 1.1645,              0.0012214,              0.0012214,              0.0012214
                     17,                 2.8886,                 2.6141,                 1.1783,                0.35038,                0.12365,                0.07489,                0.02979,                 2.5314,                 1.9236,                 1.1471,              0.0012195,              0.0012195,              0.0012195
                     18,                 2.8526,                 2.4208,                 1.1487,                0.39099,                0.19153,                0.10626,                0.03687,                 2.5468,                 1.8544,                 1.1291,              0.0012176,              0.0012176,              0.0012176
                     19,                 2.8822,                 2.5074,                   1.16,                0.37441,                  0.165,                0.10338,                0.03553,                 2.5207,                 1.7187,                 1.1215,              0.0012157,              0.0012157,              0.0012157
                     20,                 2.8741,                 2.4733,                 1.1471,                0.35084,                0.14226,                0.08284,                0.03253,                 2.4989,                 1.8264,                 1.1338,              0.0012138,              0.0012138,              0.0012138
                     21,                 2.8367,                 2.5015,                 1.1523,                 0.0001,                0.00052,                  5e-05,                  3e-05,                 2.5239,                 2.3343,                 1.1183,              0.0012119,              0.0012119,              0.0012119
                     22,                 2.8157,                 2.4685,                 1.1315,                0.14094,                0.15161,                0.08708,                0.03031,                 2.4146,                  1.772,                 1.0901,                0.00121,                0.00121,                0.00121
                     23,                 2.8213,                  2.489,                 1.1632,                0.00184,                 0.0154,                0.00173,                0.00037,                 3.7932,                 3.7559,                  1.709,              0.0012081,              0.0012081,              0.0012081
                     24,                 2.7703,                 2.4264,                 1.1504,                0.40883,                0.21411,                0.10813,                0.03605,                 2.5373,                  1.772,                  1.115,              0.0012062,              0.0012062,              0.0012062
                     25,                 2.7912,                 2.3955,                 1.1249,                0.53693,                0.08578,                0.08251,                0.01948,                 2.9283,                 2.1104,                 1.2012,              0.0012043,              0.0012043,              0.0012043
                     26,                 2.7265,                 2.3654,                 1.1307,                0.41183,                0.18294,                0.10512,                 0.0337,                 2.4999,                 1.7975,                 1.0894,              0.0012024,              0.0012024,              0.0012024
                     27,                 2.7386,                 2.3723,                 1.1541,                0.00896,                0.16349,                0.03779,                0.00793,                 3.7788,                 2.9619,                 1.3935,              0.0012005,              0.0012005,              0.0012005
                     28,                 2.6947,                 2.3229,                 1.1365,                0.00147,                 0.0808,                0.00214,                0.00076,                 4.4319,                 3.8485,                 1.7968,              0.0011986,              0.0011986,              0.0011986
                     29,                 2.7005,                 2.2964,                 1.1167,                0.39414,                0.16925,                0.13105,                0.05043,                  2.353,                 1.7038,                 1.0986,              0.0011967,              0.0011967,              0.0011967
                     30,                 2.7191,                 2.3437,                 1.1342,                0.36349,                0.19228,                0.09932,                 0.0323,                 2.6428,                 1.8454,                  1.129,              0.0011948,              0.0011948,              0.0011948
                     31,                 2.6626,                 2.2686,                 1.1283,                0.00777,                 0.0962,                0.01593,                0.00432,                 3.0397,                  3.685,                 1.4726,              0.0011929,              0.0011929,              0.0011929
                     32,                 2.7479,                 2.2875,                 1.1117,                0.41176,                0.16516,                 0.1168,                0.04329,                 2.5129,                 1.7271,                 1.1179,               0.001191,               0.001191,               0.001191
