                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7012,                0.84273,                0.91692,                0.30824,                0.30919,                0.27103,                0.08794,                 2.6151,                 1.5539,                 1.0568,              0.0004065,              0.0004065,              0.0004065
                      2,                 1.7016,                0.83337,                 0.9301,                0.42763,                0.09167,                0.07864,                 0.0227,                 3.0474,                  3.264,                 1.1331,             0.00081502,             0.00081502,             0.00081502
                      3,                 1.7579,                0.87717,                0.92484,                0.46141,                0.19701,                0.14294,                0.04128,                 2.7738,                  2.152,                 1.1039,              0.0012153,              0.0012153,              0.0012153
                      4,                 1.7884,                 0.9071,                0.92536,                0.60248,                0.22206,                0.22062,                0.06228,                 2.7599,                 1.9122,                 1.0924,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.7618,                0.89035,                0.93767,                0.68256,                0.33307,                0.33875,                0.12764,                 2.5466,                 1.4967,                 1.0466,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.7958,                0.92667,                 0.9436,                0.74341,                0.29938,                0.33267,                0.11792,                 2.6175,                 1.6005,                 1.0626,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.8014,                0.91953,                0.93752,                0.61253,                0.15233,                0.08765,                0.02235,                 3.0084,                 1.9174,                 1.1489,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.8268,                0.95863,                0.94216,                0.42071,                0.33941,                0.34782,                 0.1185,                 2.5412,                 1.4753,                 1.0472,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.7792,                0.89457,                0.94262,                 0.6109,                0.27363,                0.25653,                 0.0754,                 2.7714,                 1.7089,                 1.0935,               0.001151,               0.001151,               0.001151
                     10,                  1.775,                0.89922,                 0.9345,                0.52561,                 0.1803,                0.19463,                0.06746,                 2.7954,                 2.0697,                 1.1151,              0.0011386,              0.0011386,              0.0011386
