                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8703,                 41.632,                  2.318,                      0,                      0,                      0,                      0,                 3.8647,                 31.617,                 2.3174,             0.00041258,             0.00041258,             0.00041258
                      2,                 4.6674,                 11.544,                 2.3827,                0.00161,                0.01813,                0.00146,                0.00036,                 4.0984,                  3.925,                 1.7486,             0.00082104,             0.00082104,             0.00082104
                      3,                 3.9057,                 3.9709,                 1.6227,                0.28062,                0.02048,                0.00821,                0.00192,                 3.5504,                 2.7916,                  1.391,              0.0012212,              0.0012212,              0.0012212
                      4,                 3.4483,                 3.2482,                 1.3876,                0.28062,                0.02048,                0.00821,                0.00192,                  3.644,                 9.3916,                 1.4236,              0.0012129,              0.0012129,              0.0012129
                      5,                   3.27,                 3.0748,                 1.3454,                0.56893,                 0.0566,                0.03026,                0.00871,                 3.1392,                 2.4444,                 1.2805,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.2034,                  2.911,                 1.3043,                0.37448,                0.08408,                0.04712,                0.01348,                 3.0052,                 2.2756,                 1.2423,              0.0011881,              0.0011881,              0.0011881
                      7,                 3.0358,                 2.7899,                 1.2524,                 0.3291,                0.06619,                0.04809,                0.01361,                  2.982,                 2.2567,                 1.2317,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.9989,                 2.6669,                 1.2371,                0.39599,                0.09604,                 0.0586,                0.01732,                 2.9027,                 2.0693,                 1.2095,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.8948,                 2.5875,                 1.2025,                0.82869,                0.03464,                0.04401,                0.01252,                 3.0255,                 2.4987,                 1.2393,               0.001151,               0.001151,               0.001151
                     10,                 2.8731,                 2.5337,                 1.2006,                 0.3736,                0.10725,                0.07037,                0.01995,                 2.8513,                 2.0144,                 1.1725,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.8457,                 2.4791,                  1.193,                 0.0041,                0.05731,                 0.0093,                0.00266,                 3.5784,                 3.9116,                 1.4813,              0.0011263,              0.0011263,              0.0011263
