                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7426,                 28.453,                 1.0866,                      0,                      0,                      0,                      0,                 5.3579,                 10.234,                 3.3703,             0.00041139,             0.00041139,             0.00041139
                      2,                 3.4703,                 21.849,                 1.9683,                      0,                      0,                      0,                      0,                  5.777,                 20.688,                 3.6885,             0.00082601,             0.00082601,             0.00082601
                      3,                 4.5924,                 12.968,                 2.3675,                      0,                      0,                      0,                      0,                 4.9683,                 10.857,                 2.6752,              0.0012386,              0.0012386,              0.0012386
                      4,                 4.2605,                 7.9718,                 2.1648,                      0,                      0,                      0,                      0,                 4.7116,                 4.7308,                  2.106,              0.0012407,              0.0012407,              0.0012407
                      5,                 3.9589,                 6.1184,                 1.7506,                0.00187,                0.01724,                0.00124,                0.00037,                 4.3261,                 3.8928,                 1.7294,              0.0012376,              0.0012376,              0.0012376
                      6,                 3.8468,                 4.8762,                 1.6532,                0.70513,                0.02874,                0.01904,                0.00606,                 3.6154,                 2.7393,                 1.5132,              0.0012345,              0.0012345,              0.0012345
                      7,                 3.6458,                 3.9915,                 1.4659,                 0.0044,                0.10115,                0.00479,                0.00111,                 4.2085,                 3.4655,                  1.789,              0.0012314,              0.0012314,              0.0012314
                      8,                 3.4642,                  3.723,                  1.444,                0.47093,                 0.0936,                0.08463,                0.02504,                  3.592,                 2.4277,                 1.3933,              0.0012283,              0.0012283,              0.0012283
                      9,                 3.3951,                 3.8175,                 1.4099,                0.11274,                0.04023,                0.08433,                0.02316,                 3.0754,                  2.566,                 1.3028,              0.0012252,              0.0012252,              0.0012252
                     10,                 3.2859,                 3.6653,                 1.3098,                  0.131,                0.08031,                0.08433,                0.02805,                  3.089,                 2.4279,                 1.2942,              0.0012222,              0.0012222,              0.0012222
                     11,                 3.2607,                 3.4438,                 1.2877,                0.14292,                0.13563,                0.10777,                0.02831,                 3.1572,                 2.2488,                 1.2969,              0.0012191,              0.0012191,              0.0012191
                     12,                 3.1696,                 3.3878,                 1.2635,                0.27038,                0.28281,                0.14915,                0.04682,                 2.9602,                 2.2965,                 1.2464,               0.001216,               0.001216,               0.001216
                     13,                 3.1737,                 3.3521,                  1.266,                0.25292,                0.29573,                0.19489,                0.04863,                 2.8842,                 2.1512,                  1.209,              0.0012129,              0.0012129,              0.0012129
                     14,                 3.1713,                  3.295,                  1.251,                0.53809,                0.17176,                0.19739,                0.05057,                 2.9147,                 2.0936,                 1.2482,              0.0012098,              0.0012098,              0.0012098
                     15,                 3.0719,                 3.3666,                 1.2865,                0.24104,                0.23744,                0.21765,                0.04568,                 2.9462,                 1.9586,                 1.2344,              0.0012067,              0.0012067,              0.0012067
