                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.662,                 46.391,                 2.1806,                      0,                      0,                      0,                      0,                 1.0468,                 15.877,                0.61573,             0.00041182,             0.00041182,             0.00041182
                      2,                 4.7463,                 10.513,                 2.5113,                0.00167,                0.01122,                0.00103,                0.00024,                 4.2787,                 3.8467,                 1.8901,             0.00082029,             0.00082029,             0.00082029
                      3,                 3.8657,                 3.8308,                 1.5977,                0.27106,                0.00801,                0.00291,                0.00069,                 4.0823,                 3.0557,                 1.5661,              0.0012205,              0.0012205,              0.0012205
                      4,                 3.4534,                 3.2274,                 1.3918,                0.00033,                0.00107,                0.00142,                0.00021,                  1.846,                 6.3152,                0.97801,              0.0012129,              0.0012129,              0.0012129
                      5,                 3.2311,                 2.9509,                 1.3315,                 0.0027,                0.01158,                0.00455,                0.00071,                 4.0544,                 3.5693,                   1.65,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.1097,                 2.8349,                 1.2885,                0.03404,                 0.0424,                0.01493,                0.00415,                 3.4577,                  2.818,                 1.2713,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.9932,                 2.6507,                 1.2447,                0.30371,                0.03349,                0.02406,                 0.0063,                 3.3254,                 2.4412,                  1.241,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.9591,                 2.5803,                 1.2238,                0.30007,                 0.0415,                0.02274,                0.00599,                 3.2382,                 2.5046,                 1.1982,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.8902,                 2.5303,                 1.2114,                0.32016,                0.04301,                0.02648,                0.00657,                 3.2922,                 2.4238,                 1.2409,               0.001151,               0.001151,               0.001151
                     10,                 2.8163,                 2.3895,                 1.1853,                 0.0096,                0.05739,                0.01138,                0.00333,                 3.5184,                 3.6258,                 1.2852,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.7916,                 2.3955,                 1.1779,                0.30435,                0.05686,                0.02947,                0.00846,                 3.1381,                 2.2034,                 1.1687,              0.0011263,              0.0011263,              0.0011263
                     12,                  2.772,                 2.3531,                 1.1764,                0.30924,                0.06003,                 0.0399,                0.01048,                 3.1324,                 2.1794,                 1.1593,              0.0011139,              0.0011139,              0.0011139
                     13,                 2.7611,                 2.3243,                 1.1597,                0.54011,                0.05609,                0.03143,                0.00784,                 3.4071,                 2.2914,                 1.1934,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.7041,                 2.2961,                 1.1584,                0.30165,                0.07248,                0.03915,                0.01024,                 3.0013,                 2.2281,                 1.1637,              0.0010891,              0.0010891,              0.0010891
                     15,                   2.71,                 2.2913,                 1.1518,                0.06673,                 0.0431,                  0.036,                0.00945,                 3.1235,                 2.3805,                  1.152,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.6947,                 2.1782,                 1.1507,                0.00173,                0.00481,                 0.0019,                 0.0006,                 3.7255,                 4.3458,                 1.4076,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.6971,                  2.228,                 1.1423,                0.31736,                0.07071,                0.03578,                0.01058,                 2.9647,                 2.1619,                 1.1583,               0.001052,               0.001052,               0.001052
                     18,                 2.6528,                 2.2003,                 1.1364,                0.31925,                 0.0639,                0.03526,                0.01031,                 3.0361,                 2.2034,                 1.1748,              0.0010396,              0.0010396,              0.0010396
                     19,                 2.5971,                 2.0895,                 1.1352,                0.00782,                0.03565,                0.00907,                0.00231,                 3.6334,                  3.882,                 1.3219,              0.0010273,              0.0010273,              0.0010273
                     20,                  2.625,                 2.0908,                 1.1234,                0.32025,                 0.0862,                0.05194,                0.01555,                 2.9522,                 1.9569,                 1.1155,              0.0010149,              0.0010149,              0.0010149
                     21,                 2.6223,                 2.1095,                 1.1366,                0.00868,                0.03439,                0.01002,                0.00281,                 3.5832,                  4.103,                 1.2574,              0.0010025,              0.0010025,              0.0010025
