                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3172,                 1.4894,                 1.0642,                0.56345,                0.42735,                0.44293,                0.18059,                 2.2786,                 1.3393,                 1.0197,             0.00040675,             0.00040675,             0.00040675
                      2,                 2.3134,                 1.5198,                 1.0504,                0.38955,                0.28279,                0.28323,                0.08793,                 2.6068,                 1.6216,                  1.075,             0.00081934,             0.00081934,             0.00081934
                      3,                 2.3293,                 1.5135,                 1.0584,                0.43456,                0.30846,                0.31373,                0.10411,                 2.4478,                 1.4927,                 1.0487,              0.0012278,              0.0012278,              0.0012278
                      4,                 2.3328,                 1.5567,                 1.0639,                0.46491,                0.31606,                0.28046,                0.10735,                 2.3977,                 1.6722,                 1.0412,              0.0012314,              0.0012314,              0.0012314
                      5,                 2.3895,                 1.5785,                 1.0577,                0.39676,                0.27863,                0.32806,                0.11831,                 2.3618,                 1.5621,                  1.038,              0.0012252,              0.0012252,              0.0012252
                      6,                  2.332,                 1.5065,                 1.0583,                0.34834,                0.24857,                0.22021,                0.06544,                 2.6068,                 1.6624,                 1.0691,              0.0012191,              0.0012191,              0.0012191
                      7,                 2.3634,                 1.5873,                 1.0552,                0.02226,                0.17504,                0.03443,                 0.0102,                 3.0034,                 3.5344,                 1.1652,              0.0012129,              0.0012129,              0.0012129
                      8,                  2.356,                 1.5247,                 1.0579,                0.01242,                 0.0229,                 0.0077,                0.00232,                 3.8073,                 4.6544,                 1.5553,              0.0012067,              0.0012067,              0.0012067
                      9,                 2.3209,                 1.4872,                 1.0441,                0.31274,                0.25698,                0.20684,                0.06645,                 2.5149,                  1.748,                 1.0602,              0.0012005,              0.0012005,              0.0012005
                     10,                 2.3355,                 1.5103,                 1.0535,                0.53516,                 0.3514,                0.35302,                0.12756,                 2.3174,                 1.4752,                  1.035,              0.0011943,              0.0011943,              0.0011943
                     11,                 2.3037,                 1.4986,                 1.0544,                0.38948,                0.32547,                0.30932,                0.10963,                 2.4578,                 1.5641,                 1.0561,              0.0011881,              0.0011881,              0.0011881
                     12,                 2.3527,                 1.5454,                 1.0538,                0.44495,                0.30218,                0.28749,                0.08982,                 2.5176,                 1.5731,                 1.0523,              0.0011819,              0.0011819,              0.0011819
                     13,                  2.313,                 1.5423,                 1.0664,                0.44605,                0.37171,                0.34944,                0.11897,                 2.4342,                  1.495,                 1.0519,              0.0011757,              0.0011757,              0.0011757
                     14,                 2.3226,                 1.5083,                 1.0452,                0.25571,                0.14077,                0.11265,                 0.0342,                 2.8118,                 2.5114,                 1.1035,              0.0011696,              0.0011696,              0.0011696
                     15,                 2.3034,                 1.4714,                  1.051,                0.33767,                 0.2762,                0.24935,                0.07581,                 2.4903,                 1.6473,                 1.0503,              0.0011634,              0.0011634,              0.0011634
                     16,                 2.3421,                 1.4914,                 1.0551,                0.06458,                0.14911,                0.05625,                0.01948,                 2.9309,                   3.98,                 1.1548,              0.0011572,              0.0011572,              0.0011572
                     17,                 2.3309,                 1.4816,                  1.048,                 0.0048,                0.06309,                0.00311,                0.00087,                 4.0465,                 5.1211,                 1.5928,               0.001151,               0.001151,               0.001151
