                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6233,                 86.918,                 2.9532,                      0,                      0,                      0,                      0,                 5.8657,                 24.375,                 3.6136,              0.0002375,              0.0002375,              0.0002375
                      2,                 5.9382,                 52.842,                 3.5634,                      0,                      0,                      0,                      0,                 5.5255,                 24.188,                 3.4508,             0.00048267,             0.00048267,             0.00048267
                      3,                 4.9287,                 17.754,                 2.9564,                      0,                      0,                      0,                      0,                 4.8887,                 15.664,                 3.1136,              0.0007229,              0.0007229,              0.0007229
                      4,                 4.5747,                 9.6739,                 2.3856,                      0,                      0,                      0,                      0,                  4.849,                 21.812,                 3.0787,             0.00095817,             0.00095817,             0.00095817
                      5,                 4.0568,                 6.0378,                  1.961,                      0,                      0,                      0,                      0,                 5.9631,                 24.688,                 3.5792,              0.0011885,              0.0011885,              0.0011885
                      6,                 3.9242,                  5.292,                 1.7389,                      0,                      0,                      0,                      0,                 5.4769,                 20.783,                 2.8676,              0.0011881,              0.0011881,              0.0011881
                      7,                 3.7273,                 4.3467,                 1.5998,                0.38881,                0.10509,                0.03346,                0.00883,                 3.3945,                 3.1675,                 1.5185,              0.0011757,              0.0011757,              0.0011757
                      8,                 3.4979,                 3.7865,                 1.5146,                0.51634,                 0.0936,                0.09571,                0.02707,                 3.1417,                 3.2778,                 1.3538,              0.0011634,              0.0011634,              0.0011634
                      9,                 3.3887,                 3.5057,                 1.4472,                0.14343,                0.11406,                0.07485,                0.02597,                  3.132,                 2.5401,                  1.311,               0.001151,               0.001151,               0.001151
                     10,                 3.3517,                 3.3721,                 1.4002,                0.04918,                0.02874,                0.02612,                0.00543,                 4.4079,                   3.45,                 1.6886,              0.0011386,              0.0011386,              0.0011386
                     11,                  3.241,                 3.2529,                 1.3423,                0.04918,                0.02874,                0.02612,                0.00543,                 6.6538,                 14.468,                 3.6223,              0.0011263,              0.0011263,              0.0011263
                     12,                 3.1315,                 3.1436,                 1.3069,                0.04918,                0.02874,                0.02612,                0.00543,                 6.5052,                 5.5479,                 3.5209,              0.0011139,              0.0011139,              0.0011139
                     13,                 3.1203,                 3.1451,                 1.2558,                0.39314,                0.23087,                0.16188,                0.04318,                 3.0802,                 2.3029,                  1.297,              0.0011015,              0.0011015,              0.0011015
                     14,                 3.0045,                  3.029,                 1.2673,                0.28097,                0.24236,                0.13859,                0.03507,                 3.1634,                 2.1874,                 1.3014,              0.0010891,              0.0010891,              0.0010891
                     15,                 3.0036,                 3.0482,                  1.243,                0.01373,                 0.1798,                0.05532,                0.01714,                 3.0307,                  3.024,                  1.323,              0.0010768,              0.0010768,              0.0010768
                     16,                 3.0112,                 2.8479,                 1.2374,                0.27774,                0.27849,                0.18982,                0.05131,                 2.9436,                 2.5625,                   1.24,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.9434,                  2.887,                  1.234,                0.15544,                0.25222,                0.15684,                0.05086,                 2.9339,                 2.1955,                 1.2197,               0.001052,               0.001052,               0.001052
                     18,                 2.9415,                 2.8864,                 1.2156,                0.86912,                0.07119,                0.18869,                 0.0739,                 2.6949,                 2.5404,                 1.1486,              0.0010396,              0.0010396,              0.0010396
                     19,                 2.8852,                 2.7777,                 1.2072,                 0.3055,                0.35922,                 0.2991,                0.10114,                 2.6434,                  1.978,                  1.172,              0.0010273,              0.0010273,              0.0010273
                     20,                 2.8422,                 2.7476,                 1.1888,                0.26169,                0.38933,                0.25644,                0.08162,                 2.6753,                 1.9264,                 1.1755,              0.0010149,              0.0010149,              0.0010149
                     21,                 2.8429,                 2.7797,                 1.1791,                0.22593,                0.29967,                 0.2367,                0.06782,                 2.6847,                 2.4479,                  1.166,              0.0010025,              0.0010025,              0.0010025
                     22,                 2.8926,                 2.7045,                 1.1719,                0.21765,                0.34581,                0.24846,                0.09829,                 2.6805,                 2.0284,                   1.13,             0.00099013,             0.00099013,             0.00099013
                     23,                 2.7774,                 2.6502,                 1.1922,                0.28407,                0.45189,                0.28708,                 0.0745,                 2.8903,                  1.948,                 1.2193,             0.00097775,             0.00097775,             0.00097775
                     24,                 2.7783,                 2.6142,                 1.1582,                0.22857,                 0.4156,                0.29043,                0.08574,                 2.7324,                 1.9794,                 1.1792,             0.00096537,             0.00096537,             0.00096537
                     25,                  2.763,                 2.6286,                 1.1676,                0.33773,                0.11084,                0.20534,                0.06936,                 2.6848,                  2.757,                  1.184,               0.000953,               0.000953,               0.000953
                     26,                 2.7676,                 2.6494,                 1.1713,                0.23659,                0.29228,                0.26233,                0.08009,                 2.6306,                 1.9668,                 1.1649,             0.00094062,             0.00094062,             0.00094062
                     27,                  2.716,                 2.5092,                 1.1599,                0.19738,                0.33432,                0.23278,                  0.077,                 2.6471,                 2.0595,                 1.1745,             0.00092825,             0.00092825,             0.00092825
                     28,                 2.7774,                 2.5954,                 1.1613,                0.24436,                0.30177,                0.23493,                0.08399,                 2.6608,                 2.0123,                 1.1675,             0.00091588,             0.00091588,             0.00091588
                     29,                 2.6776,                 2.4869,                 1.1601,                0.00236,                0.01724,                0.00173,                0.00049,                 3.2527,                 4.0217,                 1.4686,              0.0009035,              0.0009035,              0.0009035
                     30,                 2.6924,                 2.4838,                 1.1414,                0.24585,                0.50361,                0.38141,                0.14329,                 2.6033,                 2.0174,                 1.1378,             0.00089112,             0.00089112,             0.00089112
                     31,                  2.702,                 2.4249,                 1.1217,                0.00583,                0.05172,                0.00931,                0.00306,                 2.5994,                 3.8012,                 1.3181,             0.00087875,             0.00087875,             0.00087875
                     32,                 2.6673,                 2.3792,                 1.1482,                0.02382,                 0.5399,                0.18664,                0.05163,                 2.5201,                 2.9818,                 1.2248,             0.00086637,             0.00086637,             0.00086637
                     33,                 2.6062,                 2.4514,                 1.1339,                0.26488,                0.53645,                0.37045,                0.15205,                 2.4354,                 1.8469,                 1.1161,               0.000854,               0.000854,               0.000854
                     34,                 2.6349,                 2.4427,                  1.134,                0.02132,                0.37783,                0.20693,                0.05879,                 2.5863,                 3.2163,                 1.1974,             0.00084162,             0.00084162,             0.00084162
                     35,                 2.7088,                 2.4577,                 1.1178,                0.37586,                0.40493,                0.33372,                0.12406,                 2.4224,                 1.8805,                 1.1069,             0.00082925,             0.00082925,             0.00082925
                     36,                 2.6841,                 2.4745,                  1.157,                 0.3233,                0.10458,                0.18556,                0.06506,                   2.55,                 2.5771,                 1.1623,             0.00081688,             0.00081688,             0.00081688
                     37,                 2.6916,                 2.4454,                 1.1553,                0.33828,                0.36112,                0.33546,                0.13416,                 2.3913,                 1.9693,                  1.084,              0.0008045,              0.0008045,              0.0008045
                     38,                 2.5948,                 2.3916,                 1.1382,                0.00155,                0.01149,                0.00085,                0.00026,                 3.1009,                 4.2004,                 1.4298,             0.00079213,             0.00079213,             0.00079213
                     39,                 2.6143,                 2.4292,                 1.1154,                0.26039,                0.59737,                0.29045,                0.09879,                 2.4549,                 1.7728,                 1.0863,             0.00077975,             0.00077975,             0.00077975
                     40,                 2.5853,                 2.3706,                 1.1145,                0.24805,                 0.5381,                 0.2556,                0.07689,                  2.707,                  2.085,                 1.1371,             0.00076738,             0.00076738,             0.00076738
                     41,                 2.5562,                 2.3274,                  1.138,                0.48499,                0.30048,                0.38298,                0.15299,                 2.5286,                 2.3088,                 1.1402,               0.000755,               0.000755,               0.000755
                     42,                 2.5841,                 2.2999,                 1.1169,                 0.4271,                0.57137,                0.45134,                0.15776,                 2.4009,                 1.7182,                 1.0908,             0.00074263,             0.00074263,             0.00074263
                     43,                 2.5787,                 2.3514,                 1.1043,                0.31034,                0.42545,                0.28831,                 0.0676,                 2.9046,                 1.8915,                 1.1986,             0.00073025,             0.00073025,             0.00073025
                     44,                 2.5162,                 2.2498,                 1.1413,                0.32694,                0.47718,                 0.4239,                0.13356,                 2.6005,                 1.7716,                   1.14,             0.00071788,             0.00071788,             0.00071788
                     45,                 2.4772,                 2.2246,                 1.1058,                0.51035,                0.61445,                0.49994,                0.14534,                 2.5874,                 1.7697,                 1.1334,              0.0007055,              0.0007055,              0.0007055
                     46,                 2.5311,                  2.245,                 1.1082,                0.45707,                0.51051,                0.46021,                0.17876,                 2.4136,                 1.8259,                 1.0915,             0.00069313,             0.00069313,             0.00069313
                     47,                 2.4772,                 2.2048,                 1.1013,                0.49709,                0.40853,                0.47735,                0.18073,                 2.5012,                 1.6276,                 1.1366,             0.00068075,             0.00068075,             0.00068075
                     48,                 2.5114,                 2.1776,                 1.1001,                0.57709,                0.53217,                0.51029,                0.17262,                 2.4811,                  1.665,                 1.1078,             0.00066838,             0.00066838,             0.00066838
                     49,                 2.5438,                 2.2815,                  1.116,                0.35383,                0.48292,                0.51711,                0.18232,                 2.4647,                  1.628,                 1.1198,               0.000656,               0.000656,               0.000656
                     50,                 2.4905,                 2.2134,                 1.0902,                0.38452,                0.41403,                0.41385,                0.12489,                 2.6713,                 1.6796,                  1.178,             0.00064362,             0.00064362,             0.00064362
                     51,                 2.4813,                 2.1865,                 1.1059,                0.52296,                0.45993,                0.43481,                0.16237,                 2.5338,                 1.7444,                 1.1309,             0.00063125,             0.00063125,             0.00063125
                     52,                 2.5098,                 2.1385,                 1.0829,                  0.369,                0.55353,                0.45698,                0.16246,                 2.5039,                 1.5916,                 1.1451,             0.00061887,             0.00061887,             0.00061887
                     53,                 2.4667,                 2.1251,                 1.1014,                 0.0288,                0.05911,                0.03754,                0.00783,                 2.9014,                 4.2177,                 1.3338,              0.0006065,              0.0006065,              0.0006065
                     54,                 2.5409,                 2.1981,                 1.0921,                0.51394,                0.45752,                0.46889,                0.17395,                  2.415,                 1.6149,                 1.1036,             0.00059413,             0.00059413,             0.00059413
