                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2546,                 46.654,                 2.5724,                      0,                      0,                      0,                      0,                0.91539,                 9.9033,                0.54978,             0.00041188,             0.00041188,             0.00041188
                      2,                 4.7805,                 13.204,                 2.5241,                0.00098,                0.00597,                0.00061,                0.00019,                 4.3169,                 3.7933,                 1.8491,             0.00082034,             0.00082034,             0.00082034
                      3,                 3.8994,                 3.9894,                 1.6218,                0.76499,                0.00656,                0.00211,                 0.0005,                 4.2014,                 2.8586,                 1.7188,              0.0012206,              0.0012206,              0.0012206
                      4,                 3.5472,                 3.1876,                 1.4134,                0.51373,                0.01611,                0.00548,                0.00153,                 3.6013,                 2.8283,                  1.533,              0.0012129,              0.0012129,              0.0012129
                      5,                 3.2639,                  2.964,                  1.334,                0.03593,                0.04326,                0.01622,                0.00478,                 3.1989,                 2.3241,                 1.3376,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.1478,                 2.8331,                 1.2901,                0.53342,                0.02387,                0.02049,                0.00561,                 3.1545,                 2.4341,                 1.2976,              0.0011881,              0.0011881,              0.0011881
                      7,                 3.0243,                 2.7573,                 1.2613,                0.30325,                0.04669,                0.02524,                0.00672,                 2.9979,                 2.1097,                 1.2545,              0.0011757,              0.0011757,              0.0011757
                      8,                  2.964,                 2.5712,                 1.2134,                0.30667,                0.05209,                 0.0314,                0.00867,                 2.9144,                 2.0252,                 1.2098,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.8712,                 2.4751,                 1.2007,                0.01554,                0.14502,                 0.0233,                0.00631,                 2.8452,                 2.8489,                 1.2235,               0.001151,               0.001151,               0.001151
                     10,                 2.8144,                 2.4068,                  1.177,                0.30639,                0.06101,                 0.0353,                0.00997,                 2.8328,                 1.9485,                 1.2126,              0.0011386,              0.0011386,              0.0011386
                     11,                  2.801,                 2.3911,                 1.1964,                0.31526,                0.06773,                0.03793,                0.01114,                 2.7056,                 1.9048,                 1.1657,              0.0011263,              0.0011263,              0.0011263
                     12,                  2.767,                 2.3841,                 1.1727,                0.27224,                0.06146,                0.01757,                0.00408,                 3.3226,                 2.5532,                 1.2423,              0.0011139,              0.0011139,              0.0011139
                     13,                 2.7174,                 2.2973,                 1.1567,                0.32324,                0.06808,                0.04338,                0.01227,                 2.6869,                 1.8547,                 1.1513,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.6751,                 2.2035,                 1.1562,                0.31944,                0.05847,                0.05536,                 0.0159,                 2.6391,                   1.88,                 1.1663,              0.0010891,              0.0010891,              0.0010891
                     15,                 2.6857,                  2.189,                 1.1414,                0.32122,                0.07115,                0.05434,                0.01519,                  2.653,                 1.8052,                 1.1383,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.6816,                 2.2145,                 1.1559,                0.01035,                0.04505,                0.01033,                0.00293,                 2.8733,                 3.5631,                 1.2704,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.6495,                 2.1513,                 1.1468,                0.32977,                0.06679,                0.03912,                0.00957,                 2.8239,                 1.9051,                 1.1562,               0.001052,               0.001052,               0.001052
                     18,                 2.6527,                 2.1171,                 1.1291,                0.34039,                 0.0904,                0.07551,                0.02554,                  2.588,                  1.712,                 1.1252,              0.0010396,              0.0010396,              0.0010396
                     19,                  2.611,                 2.1014,                 1.1349,                0.34978,                0.09055,                0.06432,                0.01766,                 2.5685,                 1.7363,                  1.122,              0.0010273,              0.0010273,              0.0010273
                     20,                 2.6345,                 2.0917,                  1.116,                0.35213,                0.05773,                0.04241,                0.01181,                  2.717,                 2.2005,                 1.1487,              0.0010149,              0.0010149,              0.0010149
                     21,                 2.5667,                 2.0608,                 1.1211,                0.33971,                0.10193,                0.09328,                0.03175,                 2.5457,                 1.7501,                 1.1194,              0.0010025,              0.0010025,              0.0010025
                     22,                 2.5711,                 2.0504,                 1.1216,                0.35417,                0.08115,                 0.0981,                  0.029,                 2.6052,                 1.7804,                  1.136,             0.00099013,             0.00099013,             0.00099013
                     23,                 2.5706,                 2.0741,                 1.1176,                0.05366,                0.31233,                0.04287,                0.01249,                 2.6238,                 2.4982,                 1.1651,             0.00097775,             0.00097775,             0.00097775
                     24,                 2.5762,                 2.0278,                 1.1134,                  0.366,                0.09428,                0.07185,                0.02428,                 2.5316,                 1.7061,                 1.1215,             0.00096537,             0.00096537,             0.00096537
                     25,                 2.5202,                 1.9498,                  1.108,                0.35778,                0.10189,                0.08996,                0.02394,                 2.6012,                  1.664,                 1.1181,               0.000953,               0.000953,               0.000953
                     26,                 2.5738,                 1.9613,                 1.1136,                0.37549,                0.04714,                0.07495,                  0.026,                 2.6456,                 2.0666,                 1.1436,             0.00094062,             0.00094062,             0.00094062
                     27,                  2.519,                 1.9126,                 1.1121,                0.35676,                0.10979,                0.11694,                0.03511,                 2.5437,                 1.5865,                  1.099,             0.00092825,             0.00092825,             0.00092825
                     28,                 2.5568,                 1.9515,                 1.1014,                0.01306,                0.00418,                0.00885,                 0.0035,                 3.5184,                 4.0294,                 1.4347,             0.00091588,             0.00091588,             0.00091588
                     29,                 2.5393,                  1.945,                  1.117,                0.36632,                0.09503,                0.10733,                0.03709,                 2.5703,                 1.6405,                 1.1328,              0.0009035,              0.0009035,              0.0009035
                     30,                 2.5056,                 1.9184,                  1.107,                 0.4282,                0.08726,                0.11696,                0.03453,                 2.5575,                 1.7126,                 1.1036,             0.00089112,             0.00089112,             0.00089112
                     31,                 2.4807,                 1.9074,                 1.0985,                0.33004,                0.12277,                0.11207,                0.04676,                 2.4891,                 1.6024,                 1.1072,             0.00087875,             0.00087875,             0.00087875
                     32,                 2.4679,                 1.8674,                 1.0888,                0.35328,                0.11084,                0.11149,                0.02878,                 2.4652,                 1.5598,                 1.0923,             0.00086637,             0.00086637,             0.00086637
                     33,                 2.4876,                 1.8771,                 1.0992,                0.64177,                 0.0922,                0.08109,                0.02274,                 2.4552,                  1.692,                 1.0881,               0.000854,               0.000854,               0.000854
                     34,                 2.4823,                 1.8538,                 1.1063,                 0.3664,                0.11711,                0.09228,                0.02748,                 2.5239,                 1.5285,                 1.1071,             0.00084162,             0.00084162,             0.00084162
                     35,                 2.4789,                 1.8364,                 1.1153,                 0.3637,                 0.1212,                0.08888,                0.02747,                 2.4661,                 1.5308,                  1.093,             0.00082925,             0.00082925,             0.00082925
                     36,                 2.5022,                 1.8232,                 1.0858,                0.35308,                 0.0989,                0.07883,                0.02148,                 2.5898,                 1.5976,                 1.1009,             0.00081688,             0.00081688,             0.00081688
                     37,                 2.4623,                 1.8275,                 1.0903,                0.34529,                 0.1174,                0.07598,                0.02184,                 2.5149,                 1.5041,                 1.0998,              0.0008045,              0.0008045,              0.0008045
                     38,                 2.4567,                 1.8095,                 1.0892,                0.36686,                0.12382,                0.07916,                 0.0223,                 2.5765,                 1.5094,                 1.1003,             0.00079213,             0.00079213,             0.00079213
                     39,                 2.4554,                 1.7971,                  1.086,                0.36384,                0.12456,                0.11902,                0.03426,                 2.5144,                 1.5102,                  1.096,             0.00077975,             0.00077975,             0.00077975
                     40,                 2.4435,                 1.7807,                 1.1025,                0.05486,                0.03088,                0.03324,                0.01113,                 2.8364,                 4.0304,                 1.3321,             0.00076738,             0.00076738,             0.00076738
                     41,                 2.4712,                 1.7798,                 1.0856,                0.35085,                0.12531,                0.13557,                0.03702,                 2.4705,                 1.4599,                 1.0984,               0.000755,               0.000755,               0.000755
                     42,                  2.434,                 1.7799,                 1.0897,                0.35437,                0.12053,                0.11731,                0.03434,                 2.4809,                 1.5154,                 1.0886,             0.00074263,             0.00074263,             0.00074263
                     43,                 2.4345,                 1.7525,                  1.094,                0.35983,                0.11128,                0.12588,                 0.0313,                 2.5137,                  1.452,                  1.101,             0.00073025,             0.00073025,             0.00073025
                     44,                 2.4733,                 1.7758,                 1.0908,                0.35179,                0.10547,                0.06898,                0.01821,                 2.6416,                 1.5669,                 1.1006,             0.00071788,             0.00071788,             0.00071788
                     45,                 2.4391,                 1.7775,                 1.0864,                0.35807,                0.11755,                0.10245,                0.02862,                 2.4871,                 1.4942,                 1.0887,              0.0007055,              0.0007055,              0.0007055
                     46,                 2.4495,                 1.7395,                 1.0854,                 0.4038,                0.13098,                0.11416,                0.03237,                 2.4372,                 1.4891,                 1.0853,             0.00069313,             0.00069313,             0.00069313
                     47,                  2.464,                 1.7614,                 1.1019,                0.36722,                0.12113,                0.09165,                0.02845,                 2.5344,                 1.4772,                 1.0946,             0.00068075,             0.00068075,             0.00068075
                     48,                 2.4486,                 1.7363,                 1.0873,                0.05083,                 0.0743,                0.03924,                0.01278,                 2.7446,                 3.1772,                 1.1888,             0.00066838,             0.00066838,             0.00066838
                     49,                 2.3873,                 1.6926,                 1.0837,                0.03568,                0.20352,                0.05366,                0.01769,                 2.5338,                 2.2972,                 1.1165,               0.000656,               0.000656,               0.000656
                     50,                  2.468,                 1.7466,                 1.0854,                0.60918,                0.05445,                0.06837,                 0.0225,                 2.5213,                  2.039,                 1.1107,             0.00064362,             0.00064362,             0.00064362
                     51,                 2.4358,                 1.7404,                 1.0741,                0.34801,                0.13784,                0.10698,                0.03041,                 2.4557,                 1.4558,                 1.0803,             0.00063125,             0.00063125,             0.00063125
                     52,                  2.402,                 1.6902,                 1.0758,                0.38663,                0.10622,                0.08992,                0.02831,                 2.5831,                 1.5878,                 1.1219,             0.00061887,             0.00061887,             0.00061887
