                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7168,                 26.091,                 1.0288,                      0,                      0,                      0,                      0,                 6.2485,                 24.969,                 3.8316,             0.00041387,             0.00041387,             0.00041387
                      2,                 3.8594,                 15.276,                 2.0184,                      0,                      0,                      0,                      0,                 5.0244,                 8.4151,                 2.4068,             0.00082396,             0.00082396,             0.00082396
                      3,                 4.2638,                 6.7587,                 1.7301,                0.00431,                0.04023,                0.01202,                0.00308,                 4.0292,                 3.4186,                 1.5788,              0.0012274,              0.0012274,              0.0012274
                      4,                 3.8561,                 4.8752,                 1.4931,                 0.7148,                0.01724,                0.01474,                0.00288,                 3.8445,                 3.2398,                 1.5131,              0.0012203,              0.0012203,              0.0012203
                      5,                 3.5651,                  4.171,                 1.4218,                0.00849,                 0.2023,                0.01223,                0.00348,                 3.6885,                 3.2696,                 1.4355,              0.0012104,              0.0012104,              0.0012104
                      6,                 3.3298,                  3.834,                 1.3291,                0.01477,                0.34187,                 0.0899,                0.02975,                 3.0321,                 2.9476,                 1.2736,              0.0012005,              0.0012005,              0.0012005
                      7,                 3.2185,                 3.5057,                 1.2773,                0.55948,                0.17156,                0.18249,                0.07729,                 2.9135,                 2.1831,                  1.224,              0.0011906,              0.0011906,              0.0011906
                      8,                  3.224,                 3.6393,                 1.2672,                0.55948,                0.17156,                0.18249,                0.07729,                 3.7597,                 4.4892,                 1.7469,              0.0011807,              0.0011807,              0.0011807
                      9,                 3.1189,                 3.6219,                 1.2406,                0.42702,                0.06322,                0.10229,                0.03649,                  2.968,                 2.4733,                 1.2293,              0.0011708,              0.0011708,              0.0011708
                     10,                 3.0515,                 3.3796,                 1.2317,                0.17057,                0.21199,                0.14327,                0.05603,                  2.939,                 2.0777,                 1.2188,              0.0011609,              0.0011609,              0.0011609
                     11,                 3.0997,                 3.4026,                 1.2022,                0.02268,                0.50608,                0.14489,                0.05972,                 2.7617,                  2.855,                 1.1823,               0.001151,               0.001151,               0.001151
                     12,                 3.0109,                 3.1424,                 1.1905,                0.23705,                0.33612,                0.16978,                0.05697,                 2.7704,                  1.945,                 1.1683,              0.0011411,              0.0011411,              0.0011411
                     13,                 2.9204,                 3.2431,                 1.1921,                0.17071,                 0.2711,                0.17209,                0.05426,                 2.6698,                 1.9418,                  1.165,              0.0011312,              0.0011312,              0.0011312
                     14,                 2.9103,                 3.2003,                 1.1599,                0.19482,                0.25681,                0.19463,                0.06239,                 2.7452,                 2.0273,                 1.1611,              0.0011213,              0.0011213,              0.0011213
                     15,                 2.8669,                 2.9768,                 1.1487,                0.18935,                0.30575,                0.20394,                0.06722,                 2.7173,                 1.8808,                  1.175,              0.0011114,              0.0011114,              0.0011114
                     16,                 2.8711,                 3.0318,                 1.1405,                0.81324,                0.06769,                0.19255,                0.05915,                 2.7045,                  2.452,                 1.0959,              0.0011015,              0.0011015,              0.0011015
                     17,                 2.8732,                 3.3308,                 1.1529,                 0.2579,                0.26716,                0.18513,                0.06822,                 2.5572,                 2.0305,                 1.0901,              0.0010916,              0.0010916,              0.0010916
                     18,                 2.8416,                 2.8679,                 1.1476,                0.23679,                 0.3821,                0.25352,                0.06616,                  2.806,                 1.8829,                 1.1761,              0.0010817,              0.0010817,              0.0010817
                     19,                 2.8227,                 2.9104,                 1.1316,                0.23309,                 0.3665,                0.23925,                0.09199,                 2.6059,                 1.7769,                 1.1316,              0.0010718,              0.0010718,              0.0010718
                     20,                 2.8262,                 2.9034,                 1.1434,                0.03021,                0.59754,                0.23769,                0.10879,                 2.5912,                 2.7905,                 1.1116,              0.0010619,              0.0010619,              0.0010619
                     21,                 2.7795,                 2.8778,                 1.1387,                  0.436,                0.31544,                0.35064,                0.13418,                 2.4935,                 1.8419,                 1.0947,               0.001052,               0.001052,               0.001052
                     22,                 2.7274,                 2.8527,                 1.1235,                0.42881,                0.39755,                0.36072,                0.15072,                 2.4525,                  1.745,                 1.0814,              0.0010421,              0.0010421,              0.0010421
                     23,                 2.7124,                  2.857,                 1.1061,                0.20652,                0.39289,                0.34414,                0.11343,                 2.6652,                 1.8004,                 1.1392,              0.0010322,              0.0010322,              0.0010322
                     24,                 2.7475,                 2.7082,                 1.1258,                0.33543,                0.49157,                0.30105,                0.11375,                  2.499,                 1.7522,                 1.0918,              0.0010223,              0.0010223,              0.0010223
                     25,                 2.6565,                 2.5659,                 1.1319,                0.30636,                0.52085,                0.31713,                0.10792,                 2.6049,                 1.8049,                 1.1157,              0.0010124,              0.0010124,              0.0010124
