                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7614,                  27.27,                 1.0417,                      0,                      0,                      0,                      0,                 1.6671,                 20.104,                 1.0211,             0.00041328,             0.00041328,             0.00041328
                      2,                 3.6124,                 18.947,                 1.8497,                      0,                      0,                      0,                      0,                 4.2955,                 21.274,                 2.0348,             0.00082337,             0.00082337,             0.00082337
                      3,                 4.6022,                 8.6787,                 2.1692,                0.00029,                 0.0024,                0.00015,                  3e-05,                 4.0443,                 7.1829,                 1.7209,              0.0012269,              0.0012269,              0.0012269
                      4,                 4.1377,                 5.4569,                 1.6352,                0.00152,                0.03119,                0.00106,                0.00033,                 4.0208,                  4.349,                 1.4896,              0.0012203,              0.0012203,              0.0012203
                      5,                 3.8156,                 4.5219,                 1.5056,                0.00161,                0.01973,                0.00136,                0.00042,                 3.8344,                 4.0127,                 1.4506,              0.0012104,              0.0012104,              0.0012104
                      6,                 3.5128,                 4.0392,                 1.4064,                0.56577,                0.02497,                0.01429,                0.00383,                 3.4008,                 3.2241,                 1.3267,              0.0012005,              0.0012005,              0.0012005
                      7,                 3.4762,                 4.0207,                 1.3408,                 0.3098,                0.03315,                0.01935,                0.00533,                 3.2472,                 3.2286,                 1.2384,              0.0011906,              0.0011906,              0.0011906
                      8,                 3.3766,                 3.9671,                 1.3076,                0.00013,                0.00024,                  6e-05,                  1e-05,                0.99162,                 1.1139,                0.33993,              0.0011807,              0.0011807,              0.0011807
                      9,                 3.2996,                  3.583,                 1.2858,                0.33844,                0.06083,                0.02785,                0.00681,                 3.3985,                 3.4069,                 1.2749,              0.0011708,              0.0011708,              0.0011708
                     10,                  3.187,                 3.5691,                 1.2571,                 0.3222,                0.09194,                0.03596,                0.01127,                 3.1296,                 3.7646,                 1.2069,              0.0011609,              0.0011609,              0.0011609
                     11,                 3.0829,                 3.2606,                 1.2352,                0.00425,                0.08391,                0.00646,                0.00183,                 3.4761,                 3.3622,                  1.364,               0.001151,               0.001151,               0.001151
                     12,                 3.0443,                 3.2818,                 1.2206,                0.34241,                 0.0286,                0.03237,                0.01023,                  2.997,                 2.7004,                 1.1781,              0.0011411,              0.0011411,              0.0011411
                     13,                 3.0686,                 3.3048,                 1.1965,                0.33317,                0.06412,                0.04129,                0.01328,                 2.9454,                 3.0079,                 1.1645,              0.0011312,              0.0011312,              0.0011312
                     14,                 3.0464,                 3.2255,                 1.1902,                0.33317,                0.06412,                0.04129,                0.01328,                  3.588,                 3.3621,                 1.3945,              0.0011213,              0.0011213,              0.0011213
                     15,                 3.0062,                 3.1799,                 1.1885,                0.33422,                  0.098,                 0.0473,                0.01643,                 2.9003,                 3.0608,                 1.1455,              0.0011114,              0.0011114,              0.0011114
                     16,                 2.8966,                 3.0171,                 1.1531,                 0.0076,                0.15279,                0.02586,                0.00736,                 3.0864,                 3.2751,                  1.179,              0.0011015,              0.0011015,              0.0011015
                     17,                 2.9102,                 3.0105,                 1.1794,                 0.3237,                0.03848,                0.04909,                 0.0151,                 2.9927,                 2.5649,                 1.1534,              0.0010916,              0.0010916,              0.0010916
                     18,                 2.9389,                 3.0231,                 1.1514,                0.00822,                0.13002,                0.01754,                0.00513,                 3.1219,                  3.436,                 1.2033,              0.0010817,              0.0010817,              0.0010817
                     19,                  2.876,                 2.9819,                 1.1609,                0.37668,                0.08263,                0.05003,                0.01688,                 2.8982,                 2.5931,                 1.1459,              0.0010718,              0.0010718,              0.0010718
                     20,                 2.8974,                 3.1114,                 1.1527,                0.00404,                0.02196,                0.00462,                0.00135,                  3.402,                 3.9609,                 1.3762,              0.0010619,              0.0010619,              0.0010619
                     21,                 2.8427,                 3.0158,                 1.1549,                0.00029,                0.00096,                0.00023,                  7e-05,                 3.6138,                 3.8485,                 1.4651,               0.001052,               0.001052,               0.001052
                     22,                 2.7433,                 2.8162,                 1.1435,                0.35983,                 0.1147,                0.05408,                0.01657,                 2.9148,                 3.1335,                 1.1626,              0.0010421,              0.0010421,              0.0010421
                     23,                 2.8272,                 2.8528,                 1.1384,                0.01386,                0.04144,                0.01403,                0.00421,                 3.2285,                 3.9542,                 1.2816,              0.0010322,              0.0010322,              0.0010322
                     24,                 2.8342,                 2.8731,                 1.1351,                0.37025,                0.10409,                0.05319,                0.01773,                 2.7306,                 2.7824,                 1.1057,              0.0010223,              0.0010223,              0.0010223
                     25,                  2.828,                 2.8199,                 1.1328,                0.35035,                0.12023,                0.04953,                 0.0164,                 2.7653,                 3.0455,                 1.0909,              0.0010124,              0.0010124,              0.0010124
                     26,                   2.73,                 2.8979,                 1.1285,                0.00981,                0.01846,                  0.007,                0.00201,                 3.3021,                 3.7184,                 1.2914,              0.0010025,              0.0010025,              0.0010025
                     27,                 2.7829,                 2.8102,                 1.1362,                0.39888,                0.06962,                0.05677,                0.01854,                 2.7729,                 2.4869,                  1.097,              0.0009926,              0.0009926,              0.0009926
                     28,                 2.7151,                 2.7981,                 1.1095,                0.40023,                0.12563,                0.07363,                0.02452,                 2.8133,                 2.7818,                 1.1226,              0.0009827,              0.0009827,              0.0009827
                     29,                 2.7393,                 2.7826,                 1.1119,                0.37899,                0.08503,                0.06367,                0.01952,                 2.7939,                 2.5221,                 1.0942,              0.0009728,              0.0009728,              0.0009728
                     30,                 2.6774,                 2.6773,                  1.102,                0.39446,                0.12002,                 0.0658,                0.02008,                 2.8117,                 2.3967,                 1.1205,              0.0009629,              0.0009629,              0.0009629
                     31,                 2.6736,                 2.6253,                 1.1186,                0.39747,                0.12319,                0.07718,                 0.0272,                 2.6722,                 2.4968,                 1.0904,               0.000953,               0.000953,               0.000953
                     32,                 2.6606,                 2.8131,                 1.1266,                0.43624,                0.12702,                0.08202,                0.02573,                 2.7529,                 2.4329,                 1.0998,              0.0009431,              0.0009431,              0.0009431
                     33,                 2.6429,                 2.4322,                 1.1098,                0.38073,                0.14117,                 0.0796,                0.02713,                 2.6456,                 2.8063,                 1.0952,              0.0009332,              0.0009332,              0.0009332
                     34,                 2.7095,                 2.7385,                  1.107,                 0.4214,                0.11541,                0.07388,                0.02614,                 2.6414,                 2.4938,                  1.071,              0.0009233,              0.0009233,              0.0009233
                     35,                 2.6592,                 2.7438,                 1.1089,                0.37961,                0.13323,                0.07024,                0.02212,                 2.8659,                 2.7662,                 1.1205,              0.0009134,              0.0009134,              0.0009134
                     36,                 2.7216,                   2.51,                 1.1212,                0.42835,                 0.1388,                0.08818,                0.03196,                 2.6023,                 2.7473,                 1.0784,              0.0009035,              0.0009035,              0.0009035
                     37,                 2.6996,                 2.6777,                 1.1074,                0.02374,                0.33902,                  0.064,                0.02165,                 2.7168,                 2.7651,                 1.0936,              0.0008936,              0.0008936,              0.0008936
                     38,                  2.624,                 2.4301,                 1.1023,                0.03281,                0.08963,                0.02997,                0.00914,                 3.0166,                 3.8988,                 1.1938,              0.0008837,              0.0008837,              0.0008837
