                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7482,                 91.038,                  2.901,                      0,                      0,                      0,                      0,                 5.6443,                 24.234,                 3.5054,              0.0004057,              0.0004057,              0.0004057
                      2,                 5.3546,                 32.679,                 2.8591,                      0,                      0,                      0,                      0,                 6.1553,                   24.5,                 3.7327,             0.00081423,             0.00081423,             0.00081423
                      3,                 4.2866,                 7.1143,                 2.0438,                      0,                      0,                      0,                      0,                 5.2674,                 6.4341,                 2.1413,              0.0012145,              0.0012145,              0.0012145
                      4,                 3.8655,                  4.888,                 1.6219,                0.69912,                 0.1092,                 0.0332,                 0.0092,                 3.1383,                 2.9286,                 1.3449,              0.0012129,              0.0012129,              0.0012129
                      5,                 3.4995,                 3.7795,                 1.4411,                0.43331,                0.05172,                0.02678,                0.00769,                 3.6822,                 2.3931,                 1.4449,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.3456,                 3.6232,                 1.3398,                0.11515,                 0.2022,                0.10789,                0.02471,                 3.3443,                 2.3823,                 1.3538,              0.0011881,              0.0011881,              0.0011881
                      7,                 3.2721,                 3.4854,                 1.2749,                0.01742,                0.44877,                0.07656,                0.02278,                 3.1235,                 2.7225,                 1.2913,              0.0011757,              0.0011757,              0.0011757
                      8,                 3.1702,                 3.3659,                 1.2775,                0.22734,                0.25195,                0.19613,                0.04773,                 3.0824,                 2.0585,                 1.2552,              0.0011634,              0.0011634,              0.0011634
                      9,                 3.0947,                 3.1798,                 1.2122,                0.17248,                0.18639,                0.22416,                 0.0505,                  2.915,                 1.9947,                 1.2424,               0.001151,               0.001151,               0.001151
                     10,                 3.0478,                 3.1026,                 1.2164,                0.01647,                0.36076,                0.17749,                0.05419,                 2.8541,                 3.2331,                 1.2576,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.9803,                  3.038,                 1.1957,                0.00918,                0.07471,                 0.0153,                0.00396,                  3.298,                 3.6787,                 1.4343,              0.0011263,              0.0011263,              0.0011263
                     12,                 2.9442,                 2.9492,                   1.17,                0.00918,                0.07471,                 0.0153,                0.00396,                 5.2058,                 4.3047,                 2.9502,              0.0011139,              0.0011139,              0.0011139
                     13,                 2.9217,                   2.83,                 1.1721,                0.43901,                0.35035,                0.29298,                0.09902,                 2.5763,                 1.9084,                 1.1571,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.8809,                 2.7765,                  1.164,                0.30218,                0.33511,                0.24927,                0.09916,                 2.5654,                 2.1875,                 1.1133,              0.0010891,              0.0010891,              0.0010891
                     15,                 2.8384,                 2.7791,                 1.1593,                 0.2681,                0.34745,                0.21885,                0.08322,                 2.7019,                 1.8483,                 1.1841,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.8206,                 2.7025,                 1.1459,                0.30206,                0.13461,                0.21818,                0.07316,                 2.7379,                 2.3244,                 1.1905,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.7657,                 2.6553,                 1.1381,                0.69083,                0.13927,                0.25793,                0.09987,                 2.5443,                 2.5418,                 1.1683,               0.001052,               0.001052,               0.001052
                     18,                 2.8205,                 2.6892,                 1.1358,                0.27751,                0.38242,                0.31712,                0.10909,                 2.4797,                 1.8681,                 1.1337,              0.0010396,              0.0010396,              0.0010396
                     19,                 2.7612,                 2.6842,                 1.1389,                0.27751,                0.38242,                0.31712,                0.10909,                 3.2749,                 4.2939,                 1.7536,              0.0010273,              0.0010273,              0.0010273
                     20,                 2.7125,                 2.6453,                  1.118,                0.34003,                0.35069,                0.34722,                0.11573,                 2.6169,                 1.7122,                 1.1395,              0.0010149,              0.0010149,              0.0010149
                     21,                 2.7665,                 2.5749,                 1.0977,                    0.3,                0.43711,                0.30019,                0.11903,                 2.4444,                 1.7853,                 1.0935,              0.0010025,              0.0010025,              0.0010025
                     22,                 2.7206,                 2.5885,                 1.1173,                0.39381,                0.51552,                0.35595,                 0.1265,                 2.4436,                 1.7312,                 1.0764,             0.00099013,             0.00099013,             0.00099013
                     23,                 2.7083,                 2.5926,                 1.1248,                0.09793,                0.60887,                 0.3041,                0.10574,                 2.5804,                 2.9259,                 1.1704,             0.00097775,             0.00097775,             0.00097775
                     24,                 2.6926,                 2.5183,                 1.1084,                0.38491,                0.41987,                 0.3031,                0.12457,                 2.5851,                 1.7568,                  1.102,             0.00096537,             0.00096537,             0.00096537
                     25,                 2.7229,                 2.4999,                 1.1038,                0.18492,                0.39852,                0.17927,                0.04417,                 3.1031,                 2.1095,                 1.2391,               0.000953,               0.000953,               0.000953
                     26,                 2.6572,                 2.4917,                 1.1019,                  0.366,                0.44872,                0.41409,                0.13176,                 2.4214,                 1.6669,                 1.0753,             0.00094062,             0.00094062,             0.00094062
                     27,                 2.6627,                 2.4084,                 1.0991,                0.18254,                0.05337,                0.10335,                0.02067,                 3.0776,                 4.1433,                 1.3903,             0.00092825,             0.00092825,             0.00092825
                     28,                 2.6522,                 2.4529,                 1.1161,                0.22274,                0.25386,                0.20954,                0.05872,                 2.7858,                 3.8031,                 1.3226,             0.00091588,             0.00091588,             0.00091588
                     29,                 2.6369,                 2.3831,                 1.0917,                0.38308,                0.39475,                0.32944,                0.12638,                 2.5088,                 1.7967,                  1.086,              0.0009035,              0.0009035,              0.0009035
                     30,                 2.5868,                 2.3778,                 1.1016,                 0.0742,                0.57028,                0.24119,                0.08924,                 2.5925,                 2.8337,                 1.1518,             0.00089112,             0.00089112,             0.00089112
                     31,                 2.5435,                 2.3196,                 1.0925,                0.34951,                0.50591,                0.39088,                0.12689,                 2.4028,                 1.6396,                 1.0548,             0.00087875,             0.00087875,             0.00087875
                     32,                 2.5369,                 2.2678,                  1.111,                0.54598,                0.30722,                0.37511,                0.12113,                 2.3909,                 1.8317,                 1.0618,             0.00086637,             0.00086637,             0.00086637
                     33,                   2.58,                 2.2663,                 1.0918,                0.47855,                0.41806,                0.41791,                0.12809,                 2.4552,                 1.7245,                 1.0831,               0.000854,               0.000854,               0.000854
                     34,                 2.5436,                   2.29,                 1.0802,                0.21405,                0.41987,                0.31091,                0.10963,                 2.5081,                 3.5875,                 1.1592,             0.00084162,             0.00084162,             0.00084162
                     35,                 2.5999,                 2.2693,                 1.0878,                0.11083,                0.61232,                0.33027,                0.11127,                 2.4649,                 3.1436,                 1.1315,             0.00082925,             0.00082925,             0.00082925
                     36,                 2.5584,                 2.3257,                 1.0732,                   0.36,                 0.2578,                0.28956,                0.10222,                 2.5764,                 2.2161,                 1.1228,             0.00081688,             0.00081688,             0.00081688
                     37,                 2.5102,                 2.2025,                 1.0744,                0.52707,                0.36297,                0.39524,                0.14674,                 2.4503,                 1.7164,                 1.0839,              0.0008045,              0.0008045,              0.0008045
                     38,                 2.4897,                 2.2195,                 1.0708,                0.38518,                0.38013,                 0.4046,                0.11711,                  2.526,                 1.6476,                 1.0871,             0.00079213,             0.00079213,             0.00079213
                     39,                 2.4833,                 2.1795,                 1.0711,                 0.4231,                0.49033,                 0.4197,                0.13906,                  2.497,                 1.6064,                  1.088,             0.00077975,             0.00077975,             0.00077975
                     40,                 2.5419,                 2.2405,                  1.091,                0.54299,                0.38642,                0.45123,                0.16434,                 2.3747,                 1.6015,                 1.0477,             0.00076738,             0.00076738,             0.00076738
                     41,                  2.474,                 2.2143,                 1.0718,                0.55244,                0.43794,                 0.4855,                0.14283,                 2.4917,                 1.6664,                 1.0683,               0.000755,               0.000755,               0.000755
                     42,                 2.5244,                 2.1564,                 1.0877,                0.45273,                0.47143,                0.47761,                0.16076,                 2.5426,                 1.6945,                 1.0819,             0.00074263,             0.00074263,             0.00074263
                     43,                 2.5007,                 2.1971,                 1.0696,                0.41081,                 0.3957,                0.45675,                0.15808,                 2.4095,                 1.5487,                 1.0622,             0.00073025,             0.00073025,             0.00073025
                     44,                 2.5044,                  2.133,                 1.0723,                0.49322,                0.53645,                0.49834,                0.18402,                 2.4249,                 1.5473,                  1.063,             0.00071788,             0.00071788,             0.00071788
                     45,                 2.5024,                 2.1471,                 1.0748,                 0.4184,                0.46223,                0.44547,                 0.1568,                 2.4163,                 1.7359,                 1.0727,              0.0007055,              0.0007055,              0.0007055
                     46,                 2.4954,                 2.1508,                 1.0574,                0.49327,                0.50728,                0.45211,                0.15996,                 2.5019,                 1.5723,                 1.0749,             0.00069313,             0.00069313,             0.00069313
                     47,                 2.4623,                 2.1252,                 1.0807,                0.51669,                0.42381,                0.47601,                0.16456,                 2.3911,                 1.5943,                 1.0684,             0.00068075,             0.00068075,             0.00068075
                     48,                 2.4895,                 2.1549,                 1.0634,                0.52287,                0.48476,                0.47572,                0.17126,                 2.3373,                 1.6013,                 1.0524,             0.00066838,             0.00066838,             0.00066838
                     49,                 2.4533,                 2.0878,                  1.067,                0.45001,                0.56683,                0.48385,                0.18341,                 2.4052,                 1.5187,                 1.0859,               0.000656,               0.000656,               0.000656
                     50,                 2.4803,                 2.0676,                 1.0598,                0.38412,                0.38588,                0.44326,                0.15056,                 2.3616,                 1.4715,                 1.0498,             0.00064362,             0.00064362,             0.00064362
                     51,                 2.4882,                 2.1138,                 1.0689,                0.61312,                0.52076,                0.49701,                0.17038,                 2.5639,                 1.6202,                 1.0928,             0.00063125,             0.00063125,             0.00063125
                     52,                 2.4938,                 2.1182,                 1.0604,                0.16734,                0.35665,                0.26779,                0.08041,                 2.5722,                 3.7161,                 1.1386,             0.00061887,             0.00061887,             0.00061887
                     53,                  2.495,                 2.1298,                 1.0718,                0.50954,                0.50719,                0.51103,                0.17348,                 2.5349,                 1.7273,                 1.0748,              0.0006065,              0.0006065,              0.0006065
                     54,                 2.4402,                 2.0631,                 1.0578,                0.51465,                0.41805,                0.43092,                0.15041,                 2.3719,                 1.7504,                 1.0502,             0.00059413,             0.00059413,             0.00059413
                     55,                 2.4194,                 2.0491,                 1.0605,                0.39197,                0.59663,                0.44073,                0.17848,                 2.3582,                 1.6922,                 1.0502,             0.00058175,             0.00058175,             0.00058175
                     56,                 2.4569,                 2.0416,                 1.0724,                0.19444,                 0.0954,                0.15526,                0.03615,                 2.6568,                 4.2172,                 1.1842,             0.00056938,             0.00056938,             0.00056938
                     57,                 2.4929,                 2.1559,                 1.0645,                0.38095,                0.07241,                0.22422,                0.06969,                 2.6978,                 4.5097,                 1.2385,               0.000557,               0.000557,               0.000557
                     58,                 2.4578,                 2.0306,                 1.0599,                 0.4901,                0.31122,                0.40128,                0.14397,                 2.4403,                 1.5416,                 1.0638,             0.00054463,             0.00054463,             0.00054463
                     59,                 2.4439,                 2.0972,                 1.0679,                0.43176,                0.41067,                0.45122,                0.15983,                  2.394,                 1.5507,                 1.0708,             0.00053225,             0.00053225,             0.00053225
                     60,                 2.4313,                 2.0222,                 1.0582,                0.36838,                0.33074,                0.40248,                0.12752,                 2.5302,                  1.615,                 1.0933,             0.00051988,             0.00051988,             0.00051988
                     61,                 2.4278,                 1.9948,                   1.06,                0.42857,                0.07816,                0.25059,                0.04751,                 2.7508,                 4.6587,                  1.226,              0.0005075,              0.0005075,              0.0005075
