                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7406,                 66.984,                 3.4485,                      0,                      0,                      0,                      0,                 2.4399,                 61.188,                  1.437,             0.00040909,             0.00040909,             0.00040909
                      2,                 4.7222,                  10.77,                 2.4455,                      0,                      0,                      0,                      0,                 0.3844,                 57.812,                0.26885,             0.00081758,             0.00081758,             0.00081758
                      3,                 3.8668,                 3.9668,                 1.6057,                0.76432,                0.01408,                0.00456,                0.00104,                 4.0976,                 3.3431,                 1.4923,              0.0012178,              0.0012178,              0.0012178
                      4,                 3.5239,                 3.2502,                 1.4193,                0.27589,                0.01952,                0.00713,                 0.0016,                 3.9026,                 2.9953,                 1.4195,              0.0012129,              0.0012129,              0.0012129
                      5,                 3.2876,                 2.9763,                 1.3151,                0.28504,                0.01617,                0.01149,                0.00276,                 3.7448,                 2.9725,                 1.4084,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.1266,                 2.8225,                 1.2737,                0.29419,                0.03612,                0.02343,                0.00749,                 3.4104,                 2.6015,                 1.2615,              0.0011881,              0.0011881,              0.0011881
                      7,                 3.0017,                 2.6713,                 1.2494,                0.01507,                0.17285,                0.02066,                0.00591,                 3.4594,                  2.826,                 1.2701,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.9908,                 2.6354,                 1.2295,                0.58669,                0.05352,                0.03594,                0.00986,                 3.1637,                 2.2998,                 1.1654,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.8985,                 2.5091,                 1.1896,                0.32513,                 0.0641,                0.04123,                0.01047,                 3.1791,                 2.2553,                 1.1764,               0.001151,               0.001151,               0.001151
                     10,                 2.8531,                 2.4714,                 1.1995,                0.04272,                0.09631,                0.03157,                0.00888,                 3.2753,                 2.5757,                 1.1839,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.8586,                 2.4556,                 1.1679,                 0.3151,                0.05967,                0.03215,                0.00931,                 3.1428,                 2.2391,                 1.1661,              0.0011263,              0.0011263,              0.0011263
                     12,                 2.7879,                 2.3826,                 1.1774,                0.55623,                0.04628,                0.03458,                0.00834,                 3.2462,                 2.4362,                 1.1479,              0.0011139,              0.0011139,              0.0011139
                     13,                 2.7433,                 2.3357,                 1.1555,                0.00818,                0.05695,                0.00452,                0.00085,                 4.6477,                  3.803,                 1.7696,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.7566,                 2.2945,                 1.1488,                0.32141,                0.07868,                0.05358,                0.01643,                 2.9598,                 2.1407,                 1.1268,              0.0010891,              0.0010891,              0.0010891
                     15,                 2.7283,                 2.2859,                 1.1414,                0.01711,                0.26868,                0.02234,                0.00692,                 3.2762,                 3.1821,                 1.1942,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.7019,                 2.2319,                 1.1548,                0.30491,                0.06539,                0.04942,                0.01489,                 2.9631,                 2.1817,                 1.1384,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.6957,                 2.2607,                 1.1436,                0.32682,                0.08654,                0.06658,                0.01932,                 3.0025,                 2.1171,                 1.1116,               0.001052,               0.001052,               0.001052
                     18,                 2.6713,                 2.1719,                 1.1393,                0.04923,                0.08201,                0.04531,                0.01398,                 3.0646,                 2.3055,                 1.1654,              0.0010396,              0.0010396,              0.0010396
                     19,                 2.6569,                 2.1652,                 1.1474,                 0.3399,                0.09943,                0.05296,                0.01519,                 2.9282,                 2.0939,                 1.1133,              0.0010273,              0.0010273,              0.0010273
                     20,                   2.66,                 2.1363,                  1.124,                0.07953,                0.07023,                0.05487,                0.01523,                 3.0116,                 2.0943,                 1.1212,              0.0010149,              0.0010149,              0.0010149
                     21,                 2.6364,                  2.125,                 1.1284,                0.59804,                0.05916,                 0.0586,                0.01713,                 3.0215,                 2.2705,                 1.1234,              0.0010025,              0.0010025,              0.0010025
                     22,                 2.6325,                 2.1001,                 1.1218,                0.04273,                0.07419,                 0.0288,                0.00968,                 3.3084,                 4.6448,                 1.2176,             0.00099013,             0.00099013,             0.00099013
                     23,                 2.6308,                 2.0915,                 1.1154,                0.31412,                0.09145,                0.07987,                 0.0247,                 2.9139,                 2.0297,                 1.0914,             0.00097775,             0.00097775,             0.00097775
