                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.671,                0.91372,                0.89323,                0.02179,                0.01992,                0.01446,                0.00509,                 3.8157,                   5.73,                 1.3785,               0.000275,               0.000275,               0.000275
                      2,                 1.6933,                0.87296,                0.89867,                0.62852,                0.29542,                 0.3455,                0.11588,                 2.4017,                 1.5544,                 1.1023,             0.00056064,             0.00056064,             0.00056064
                      3,                 1.7148,                0.91204,                0.89806,                0.55805,                0.35603,                0.36765,                0.14002,                 2.4164,                 1.5984,                 1.1168,             0.00084439,             0.00084439,             0.00084439
                      4,                 1.7631,                0.95407,                0.91562,                0.48359,                0.42018,                0.35831,                0.12948,                 2.3572,                 1.5069,                 1.1115,              0.0011262,              0.0011262,              0.0011262
                      5,                 1.8834,                 1.0182,                0.90701,                0.05788,                0.14484,                0.06123,                0.01621,                 3.3135,                 3.4177,                 1.2711,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.8047,                0.99267,                0.92496,                0.25542,                0.27926,                 0.2426,                0.08442,                 2.3882,                  1.685,                 1.0925,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.8236,                 0.9774,                0.91559,                0.57657,                0.29572,                0.28125,                0.09653,                 2.3894,                 1.5542,                 1.0883,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.7874,                0.95953,                0.92079,                 0.5597,                 0.2903,                0.35268,                0.13335,                 2.3647,                 1.4038,                  1.102,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.7797,                0.97415,                0.91785,                0.35311,                0.20419,                0.22966,                0.08678,                 2.5289,                 2.2861,                 1.1071,               0.001217,               0.001217,               0.001217
                     10,                 1.7516,                0.96834,                0.92543,                0.53437,                0.33211,                0.34584,                0.12977,                 2.2907,                 1.4544,                 1.0834,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.7751,                0.98861,                0.91918,                0.54464,                0.24642,                0.25994,                0.08535,                 2.2482,                 1.6525,                 1.0547,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.8515,                 1.0337,                0.91502,                0.47118,                 0.1292,                0.12841,                0.03928,                 2.9136,                  2.387,                 1.1746,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.7815,                0.98552,                0.91515,                 0.3428,                0.32097,                0.30864,                0.10135,                 2.4378,                 1.5058,                 1.1097,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.7926,                0.99137,                 0.9148,                0.45491,                0.38651,                 0.3206,                0.11899,                 2.3943,                  1.644,                 1.0962,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.8779,                 1.0379,                0.91855,                0.42516,                0.38994,                0.33261,                0.10871,                 2.4401,                 1.5162,                 1.1357,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.7961,                 1.0034,                0.92537,                0.04325,                0.13669,                0.04947,                 0.0121,                 3.4087,                 3.7776,                 1.2961,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.8173,                0.99093,                0.92557,                0.49461,                0.23803,                0.29432,                0.09753,                 2.3568,                 1.5255,                 1.0944,               0.001184,               0.001184,               0.001184
                     18,                 1.8178,                  1.002,                0.92522,                0.49398,                0.34588,                0.31629,                0.11066,                 2.4714,                 1.5303,                 1.1131,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.8229,                  1.008,                0.92646,                0.06103,                0.04127,                0.04813,                0.01329,                 2.9275,                 4.5457,                 1.1622,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.8392,                  1.003,                0.92399,                0.61262,                0.27538,                0.32594,                0.12038,                 2.4115,                  1.588,                 1.1042,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.8518,                 1.0186,                0.92411,                 0.6051,                0.28407,                0.28701,                0.09809,                  2.372,                 1.4822,                 1.0923,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.8771,                 1.0124,                0.93129,                0.37412,                0.40778,                 0.3308,                 0.1277,                 2.4417,                 1.4302,                 1.1123,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.8443,                 1.0167,                0.91953,                0.65836,                 0.2737,                0.29407,                0.10497,                  2.409,                 1.4356,                 1.1138,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.7754,                0.98279,                0.92075,                0.53643,                0.27532,                0.25171,                0.08251,                 2.5108,                 1.5498,                 1.1375,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.8167,                0.99012,                0.91825,                0.48759,                0.31566,                0.27503,                0.10979,                 2.4553,                  1.898,                 1.1112,               0.001151,               0.001151,               0.001151
                     26,                 1.8065,                0.99002,                0.90893,                0.55455,                0.34746,                0.30108,                0.10689,                  2.433,                 1.5746,                 1.1112,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.8053,                 1.0083,                0.92365,                0.07745,                0.02421,                0.04578,                0.01297,                 3.3988,                 5.3293,                 1.2806,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.7645,                0.99934,                0.92139,                0.34585,                0.27829,                0.26445,                0.08956,                 2.4726,                 1.5987,                 1.1104,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.7878,                0.97286,                0.91425,                   0.64,                0.27687,                0.33249,                0.10829,                 2.3931,                 1.4714,                 1.0942,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.7952,                0.96088,                0.91177,                0.63247,                0.28633,                0.30668,                0.10471,                 2.3683,                 1.6099,                 1.0842,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.7947,                0.98352,                0.91625,                0.62935,                0.30582,                0.30891,                0.11061,                  2.353,                 1.5496,                 1.1211,              0.0011263,              0.0011263,              0.0011263
                     32,                 1.7641,                0.98498,                0.91733,                0.33695,                0.40122,                0.28832,                0.08512,                 2.6225,                 1.5663,                   1.15,              0.0011221,              0.0011221,              0.0011221
                     33,                 1.8234,                 1.0051,                0.92643,                0.34188,                0.34053,                0.30053,                0.10933,                 2.3603,                 1.4112,                 1.1084,               0.001118,               0.001118,               0.001118
                     34,                 1.8255,                 0.9845,                0.91942,                0.49764,                 0.4138,                0.36178,                0.12548,                 2.3591,                  1.469,                 1.0952,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.8054,                0.96281,                0.92846,                0.62556,                0.35986,                0.35023,                0.12673,                 2.4402,                 1.4692,                 1.1136,              0.0011098,              0.0011098,              0.0011098
                     36,                  1.862,                 1.0121,                0.92545,                0.02469,                0.00839,                0.01367,                 0.0046,                 4.2814,                 5.6067,                 1.4989,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.8549,                  1.023,                0.92515,                0.62057,                0.26096,                0.31073,                0.10437,                 2.3943,                 1.4193,                 1.1057,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.8402,                  1.007,                0.91105,                0.64854,                0.27977,                0.30943,                 0.1209,                 2.3695,                 1.4233,                 1.0976,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.7428,                0.96309,                 0.9271,                0.30803,                0.30401,                0.29702,                  0.119,                  2.378,                 1.5098,                 1.0898,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.8093,                 1.0119,                 0.9164,                0.30803,                0.30401,                0.29702,                  0.119,                 4.4941,                 7.2999,                 1.6771,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.7701,                 0.9725,                0.91348,                0.52178,                0.32971,                0.30142,                0.12094,                 2.3329,                 1.5114,                 1.0856,               0.001085,               0.001085,               0.001085
                     42,                 1.8153,                0.96515,                 0.9123,                0.70786,                0.26764,                0.28872,                0.10284,                 2.4241,                 1.4849,                 1.0869,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.8103,                0.97584,                0.90955,                0.45998,                0.38093,                0.36757,                0.15866,                 2.3436,                 1.6025,                  1.086,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.7777,                0.95915,                0.91102,                0.59437,                0.34476,                0.35028,                0.12634,                 2.3662,                 1.4958,                 1.0909,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.7629,                0.98412,                0.91073,                0.51281,                0.39158,                 0.3759,                0.13408,                 2.3506,                 1.4083,                 1.0873,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.7503,                0.94984,                0.91178,                0.42163,                0.24776,                0.23391,                0.07535,                 2.4735,                  1.688,                 1.0966,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.8042,                0.98166,                0.90889,                0.51613,                0.39294,                0.36135,                0.13563,                   2.37,                 1.5202,                 1.0931,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.7551,                0.94896,                0.90737,                0.55421,                0.33721,                0.33239,                 0.1256,                  2.393,                 1.4746,                 1.0961,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.7375,                0.94114,                0.91092,                0.37879,                 0.3544,                0.31256,                0.12409,                 2.3402,                 1.5431,                 1.0895,               0.001052,               0.001052,               0.001052
                     50,                 1.7668,                0.94702,                 0.9151,                0.44787,                0.39697,                0.34393,                0.13713,                 2.4226,                 1.6736,                 1.1045,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.7314,                0.96319,                0.91389,                0.28044,                0.18617,                0.18149,                0.05791,                 2.4243,                 1.8723,                 1.0807,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.7359,                0.95001,                0.90519,                0.64012,                 0.2659,                0.30406,                0.11588,                 2.4238,                 1.5448,                 1.1236,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.7341,                0.93508,                0.91269,                0.48911,                0.34906,                0.33014,                0.14356,                 2.4291,                 1.5892,                 1.1141,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.7701,                 0.9547,                0.90779,                0.42862,                0.35332,                0.35001,                0.12132,                 2.4111,                 1.5443,                 1.1066,              0.0010314,              0.0010314,              0.0010314
                     55,                  1.811,                0.97388,                0.92252,                 0.2988,                0.26844,                0.23923,                0.07885,                 2.5794,                 1.6523,                 1.1479,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.7929,                0.95118,                0.91194,                0.68155,                0.27945,                 0.3006,                0.10986,                 2.4151,                   1.42,                  1.097,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.7647,                0.94373,                0.91157,                0.55657,                0.33088,                0.30263,                0.10183,                 2.4409,                 1.4873,                 1.1055,               0.001019,               0.001019,               0.001019
                     58,                 1.7758,                0.95664,                0.90763,                0.66152,                0.27907,                0.35461,                0.13338,                 2.3879,                 1.4838,                 1.1008,              0.0010149,              0.0010149,              0.0010149
                     59,                 1.7518,                0.94746,                0.90815,                0.70907,                  0.262,                0.31541,                0.10717,                 2.4101,                 1.4702,                 1.0929,              0.0010107,              0.0010107,              0.0010107
