                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7968,                 101.68,                 3.5579,                      0,                      0,                      0,                      0,                0.03308,                 15.531,                0.01896,             0.00017148,             0.00017148,             0.00017148
                      2,                 6.0857,                 74.663,                 3.6662,                      0,                      0,                      0,                      0,                 0.0299,                 15.531,                0.01721,             0.00035371,             0.00035371,             0.00035371
                      3,                 5.6336,                 65.572,                 3.2711,                      0,                      0,                      0,                      0,                0.02613,                 15.531,                0.01515,             0.00053227,             0.00053227,             0.00053227
                      4,                 5.6563,                 40.271,                 3.0507,                      0,                      0,                      0,                      0,                0.02321,                  15.07,                0.01343,             0.00070714,             0.00070714,             0.00070714
                      5,                 4.5873,                 16.821,                 2.7592,                      0,                      0,                      0,                      0,                0.00804,                 14.695,                0.00487,             0.00087834,             0.00087834,             0.00087834
                      6,                 4.2871,                 8.9703,                 2.3494,                      0,                      0,                      0,                      0,                0.07299,                 15.562,                0.03948,              0.0010459,              0.0010459,              0.0010459
                      7,                 3.9944,                 6.7252,                 2.0662,                      0,                      0,                      0,                      0,                0.02495,                 15.531,                0.01403,              0.0012097,              0.0012097,              0.0012097
                      8,                 3.8376,                 5.9932,                 1.8329,                      0,                      0,                      0,                      0,                 1.4308,                 16.359,                0.67742,                0.00133,                0.00133,                0.00133
                      9,                 3.6963,                 4.7879,                 1.7216,                      0,                      0,                      0,                      0,                 5.3949,                 8.3811,                 2.1208,              0.0013158,              0.0013158,              0.0013158
                     10,                 3.6092,                 4.1634,                 1.6147,                0.00268,                0.07895,                0.00517,                0.00144,                 3.7743,                 4.0254,                 1.4731,              0.0013017,              0.0013017,              0.0013017
                     11,                 3.3548,                 3.9739,                 1.5079,                0.54433,                0.06579,                0.13742,                0.03095,                 3.1128,                 3.1507,                 1.2809,              0.0012875,              0.0012875,              0.0012875
                     12,                 3.4411,                 4.0232,                 1.4534,                0.22007,                 0.1886,                 0.1848,                  0.063,                 2.9191,                   2.77,                 1.1697,              0.0012734,              0.0012734,              0.0012734
                     13,                 3.1997,                 3.5886,                 1.4071,                0.13696,                0.24123,                0.16221,                0.06027,                 3.3469,                 3.3413,                 1.2702,              0.0012592,              0.0012592,              0.0012592
                     14,                  3.198,                 3.5046,                 1.4265,                 0.5527,                0.02632,                0.02862,                0.00978,                 3.1756,                 3.5311,                 1.2324,              0.0012451,              0.0012451,              0.0012451
                     15,                 3.1688,                 3.6377,                 1.3474,                0.00262,                0.10965,                0.00258,                0.00079,                 3.4491,                  9.327,                 1.5322,              0.0012309,              0.0012309,              0.0012309
                     16,                 2.9676,                 3.4894,                 1.3436,                0.10479,                0.01316,                0.03165,                0.01196,                  3.025,                 4.6513,                 1.1781,              0.0012168,              0.0012168,              0.0012168
                     17,                 3.0734,                 3.4882,                 1.3598,                0.10479,                0.01316,                0.03165,                0.01196,                0.30732,                 16.078,                0.15931,              0.0012026,              0.0012026,              0.0012026
                     18,                 3.0026,                 3.4484,                 1.3179,                0.62411,                0.07895,                 0.0831,                0.02709,                  2.997,                 2.9953,                 1.1352,              0.0011885,              0.0011885,              0.0011885
                     19,                 2.9439,                 3.1942,                 1.3211,                0.55103,                0.09211,                0.11722,                0.03666,                 3.0905,                 2.6859,                   1.19,              0.0011744,              0.0011744,              0.0011744
                     20,                 2.9764,                  3.198,                 1.2978,                 0.0088,                0.14474,                0.02087,                0.00622,                  3.148,                 3.8405,                 1.1823,              0.0011602,              0.0011602,              0.0011602
                     21,                 2.9621,                 3.1879,                 1.2468,                0.12661,                0.17105,                 0.1216,                0.03672,                 2.9573,                 2.4539,                  1.114,              0.0011461,              0.0011461,              0.0011461
                     22,                 2.8611,                  3.108,                 1.2406,                0.13374,                0.06579,                0.11671,                0.03685,                 3.0049,                 2.7146,                 1.1231,              0.0011319,              0.0011319,              0.0011319
                     23,                 2.8514,                 3.0345,                 1.2449,                0.62104,                0.22368,                0.31432,                0.11281,                 2.9217,                 2.3268,                 1.0939,              0.0011178,              0.0011178,              0.0011178
                     24,                 2.8104,                 3.0008,                 1.2313,                0.88144,                0.04286,                0.15738,                0.02885,                 3.0564,                 3.2893,                 1.1401,              0.0011036,              0.0011036,              0.0011036
                     25,                 2.7844,                 2.9009,                  1.212,                0.15589,                0.25439,                0.19573,                0.05836,                 3.1021,                 2.3369,                 1.1504,              0.0010895,              0.0010895,              0.0010895
                     26,                 2.7607,                 2.9575,                 1.2287,                0.01687,                0.60965,                0.21624,                0.03892,                 2.8981,                 2.9395,                 1.0821,              0.0010753,              0.0010753,              0.0010753
                     27,                 2.7187,                 2.9275,                 1.2412,                0.00965,                0.25439,                0.09949,                0.03108,                 3.2171,                 3.4501,                  1.177,              0.0010612,              0.0010612,              0.0010612
                     28,                 2.6814,                 2.8442,                 1.2002,                0.61898,                0.26316,                0.29419,                0.08897,                 2.8838,                 2.1166,                 1.0889,               0.001047,               0.001047,               0.001047
                     29,                 2.6663,                 2.7761,                 1.1959,                0.30794,                0.40351,                0.25778,                  0.075,                 2.9901,                 1.9916,                 1.1494,              0.0010329,              0.0010329,              0.0010329
                     30,                 2.6475,                 2.7414,                 1.1873,                 0.2992,                0.38357,                0.25503,                0.07822,                 2.7221,                 2.0092,                 1.0897,              0.0010187,              0.0010187,              0.0010187
                     31,                  2.625,                 2.6549,                 1.1732,                0.20236,                0.37719,                0.23206,                0.07109,                 3.0964,                 2.4194,                 1.1732,              0.0010046,              0.0010046,              0.0010046
                     32,                  2.694,                 2.8023,                 1.2213,                0.15457,                0.09283,                0.14533,                0.05304,                 3.0374,                 2.5398,                 1.1051,             0.00099044,             0.00099044,             0.00099044
                     33,                  2.638,                 2.7042,                 1.1587,                0.20841,                0.44298,                0.31227,                0.10532,                 2.6253,                 1.9583,                 1.0267,             0.00097629,             0.00097629,             0.00097629
                     34,                 2.6453,                  2.701,                 1.1691,                0.16334,                0.21053,                0.26763,                0.08576,                 2.5177,                 2.0686,                 1.0136,             0.00096215,             0.00096215,             0.00096215
                     35,                 2.7373,                 2.7587,                 1.2053,                0.00446,                0.06579,                0.00401,                0.00113,                 2.9221,                 3.6713,                 1.1615,               0.000948,               0.000948,               0.000948
                     36,                 2.5483,                 2.6431,                 1.1775,                0.31652,                0.44298,                0.35651,                0.11578,                  2.601,                  1.955,                 1.0495,             0.00093385,             0.00093385,             0.00093385
                     37,                 2.5663,                 2.6404,                 1.1871,                0.33299,                0.34974,                 0.2412,                0.07566,                 2.9333,                 1.9934,                 1.1064,              0.0009197,              0.0009197,              0.0009197
                     38,                 2.6288,                 2.6772,                 1.1703,                0.79497,                0.07895,                0.11984,                0.03126,                 2.7908,                 2.7003,                 1.0665,             0.00090556,             0.00090556,             0.00090556
                     39,                 2.5786,                 2.5992,                 1.1675,                0.37555,                0.32614,                0.37376,                0.11826,                 2.4829,                 1.8787,                 1.0399,             0.00089141,             0.00089141,             0.00089141
                     40,                 2.6806,                 2.6593,                 1.1561,                0.23927,                0.37747,                0.31309,                0.10594,                 2.6867,                 2.0316,                 1.0657,             0.00087726,             0.00087726,             0.00087726
