                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3606,                 102.26,                 3.3014,                      0,                      0,                      0,                      0,                 3.4633,                 23.366,                 2.0953,              0.0002375,              0.0002375,              0.0002375
                      2,                 6.1013,                 65.112,                 3.5451,                      0,                      0,                      0,                      0,                 3.4623,                 25.104,                 2.1201,             0.00048509,             0.00048509,             0.00048509
                      3,                 5.1503,                 15.327,                 2.9475,                      0,                      0,                      0,                      0,                 3.4602,                 7.5012,                 2.1732,              0.0007302,              0.0007302,              0.0007302
                      4,                 4.3012,                  6.316,                 2.3116,                      0,                      0,                      0,                      0,                  3.453,                 19.248,                 2.0726,             0.00097284,             0.00097284,             0.00097284
                      5,                 4.1001,                 4.5127,                 1.8229,                      0,                      0,                      0,                      0,                 2.8825,                 61.246,                 2.0657,               0.001213,               0.001213,               0.001213
                      6,                 3.8125,                 3.8109,                 1.5573,                0.00164,                0.03819,                0.00127,                0.00031,                 4.0174,                 4.6045,                 1.8022,              0.0012191,              0.0012191,              0.0012191
                      7,                 3.6228,                 3.4538,                 1.5008,                0.27926,                0.04336,                  0.019,                0.00459,                 3.2646,                 2.7381,                 1.4262,              0.0012129,              0.0012129,              0.0012129
                      8,                 3.4354,                 3.1829,                 1.3953,                0.27455,                0.05199,                0.02215,                0.00607,                 2.7866,                 2.4655,                 1.2962,              0.0012067,              0.0012067,              0.0012067
                      9,                 3.3517,                 3.1104,                 1.3478,                0.00017,                0.00105,                  9e-05,                  3e-05,                 2.0548,                  14.94,                 1.2182,              0.0012005,              0.0012005,              0.0012005
                     10,                 3.2647,                 2.9701,                  1.308,                0.00129,                0.00839,                0.00218,                 0.0008,                 4.0246,                  4.365,                 1.6447,              0.0011943,              0.0011943,              0.0011943
                     11,                 3.1511,                 2.8239,                 1.2804,                0.00129,                0.00839,                0.00218,                 0.0008,                 2.6681,                 11.767,                 1.4217,              0.0011881,              0.0011881,              0.0011881
                     12,                 3.1597,                 2.8372,                 1.2279,                0.00898,                0.15935,                0.02336,                0.00694,                 2.7913,                 2.8919,                 1.2776,              0.0011819,              0.0011819,              0.0011819
                     13,                 3.0445,                 2.6573,                 1.2072,                0.01248,                0.25527,                0.03258,                0.00975,                 3.0882,                 2.8824,                 1.2772,              0.0011757,              0.0011757,              0.0011757
                     14,                 3.0169,                  2.724,                 1.2079,                0.00267,                 0.0152,                0.00457,                0.00107,                  3.595,                 3.4634,                 1.4868,              0.0011696,              0.0011696,              0.0011696
                     15,                  2.959,                 2.7165,                 1.1963,                 0.3386,                0.10202,                0.04467,                0.01456,                 2.7176,                 1.8843,                 1.1886,              0.0011634,              0.0011634,              0.0011634
                     16,                 2.8681,                  2.557,                 1.1668,                0.38894,                 0.1355,                 0.0989,                0.03503,                 2.5692,                  1.812,                 1.1524,              0.0011572,              0.0011572,              0.0011572
                     17,                  2.854,                 2.6022,                 1.1717,                0.35928,                0.18042,                0.07982,                0.03044,                 2.4846,                 1.9552,                 1.1311,               0.001151,               0.001151,               0.001151
                     18,                  2.821,                 2.4192,                 1.1392,                0.35994,                0.17979,                0.08712,                0.03286,                 2.5028,                 1.9342,                 1.1361,              0.0011448,              0.0011448,              0.0011448
                     19,                 2.8824,                 2.4981,                  1.154,                0.41859,                0.10178,                0.07306,                0.01626,                 3.1251,                 2.1356,                 1.2302,              0.0011386,              0.0011386,              0.0011386
                     20,                 2.8634,                 2.4661,                 1.1396,                0.39064,                0.21169,                0.10567,                0.03885,                  2.519,                 1.8199,                  1.135,              0.0011324,              0.0011324,              0.0011324
                     21,                  2.815,                 2.4465,                 1.1423,                0.80213,                0.02987,                0.02639,                0.00602,                 3.4581,                 2.9971,                  1.441,              0.0011263,              0.0011263,              0.0011263
                     22,                 2.7825,                 2.4063,                 1.1185,                 0.0044,                0.05726,                0.00559,                0.00166,                 3.1455,                 3.7836,                 1.5096,              0.0011201,              0.0011201,              0.0011201
                     23,                  2.777,                 2.4701,                 1.1467,                0.00773,                0.11875,                0.01501,                0.00323,                 3.9929,                 3.3542,                  1.533,              0.0011139,              0.0011139,              0.0011139
                     24,                  2.748,                 2.4082,                   1.14,                  0.431,                 0.2124,                0.11017,                0.04019,                 2.5533,                 1.8452,                 1.1113,              0.0011077,              0.0011077,              0.0011077
                     25,                  2.784,                 2.4149,                 1.1267,                 0.0054,                0.08969,                0.00661,                0.00173,                 3.0903,                 3.6526,                 1.4213,              0.0011015,              0.0011015,              0.0011015
                     26,                 2.7347,                 2.3775,                 1.1286,                0.39297,                0.19614,                0.11273,                0.03959,                 2.3677,                   1.68,                 1.0927,              0.0010953,              0.0010953,              0.0010953
                     27,                  2.716,                 2.3759,                 1.1487,                 0.0001,                0.00052,                  5e-05,                  2e-05,                 4.1941,                 4.0373,                 1.9307,              0.0010891,              0.0010891,              0.0010891
                     28,                 2.6986,                 2.3089,                 1.1334,                0.64928,                0.15156,                 0.1356,                0.04477,                 2.4186,                 1.7236,                 1.0919,              0.0010829,              0.0010829,              0.0010829
                     29,                 2.7002,                 2.2671,                 1.1093,                0.42437,                0.16964,                0.13635,                 0.0488,                 2.3865,                 1.6474,                 1.0962,              0.0010768,              0.0010768,              0.0010768
                     30,                  2.697,                 2.3148,                 1.1233,                0.39522,                0.16554,                0.10047,                0.03017,                 2.5736,                 1.7747,                  1.124,              0.0010706,              0.0010706,              0.0010706
                     31,                 2.6506,                 2.2576,                 1.1212,                0.44629,                0.18132,                0.14119,                0.04487,                 2.3833,                 1.6292,                 1.0853,              0.0010644,              0.0010644,              0.0010644
                     32,                 2.6915,                 2.2728,                 1.0922,                0.27698,                0.05688,                0.01049,                0.00198,                 4.9574,                  2.727,                 1.7473,              0.0010582,              0.0010582,              0.0010582
                     33,                 2.7111,                 2.2599,                 1.1213,                0.40492,                 0.1623,                0.10233,                 0.0399,                 2.4712,                 1.5824,                 1.1156,               0.001052,               0.001052,               0.001052
                     34,                 2.6638,                 2.2437,                 1.1263,                0.00046,                0.00262,                0.00023,                  9e-05,                 4.0923,                 3.8912,                 1.8895,              0.0010458,              0.0010458,              0.0010458
                     35,                 2.5983,                 2.1602,                 1.1146,                0.46871,                0.15298,                0.12074,                0.03735,                  2.454,                 1.7955,                 1.0787,              0.0010396,              0.0010396,              0.0010396
