                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.627,                 76.816,                 3.3608,                      0,                      0,                      0,                      0,                 3.0303,                 74.188,                 1.7655,              0.0004065,              0.0004065,              0.0004065
                      2,                 4.9381,                  12.35,                 2.6643,                      0,                      0,                      0,                      0,                 7.0494,                 48.812,                 3.6894,             0.00081502,             0.00081502,             0.00081502
                      3,                 3.9275,                 4.1323,                 1.6905,                0.00125,                0.01258,                0.00077,                0.00019,                 4.5417,                 3.9426,                 1.6837,              0.0012153,              0.0012153,              0.0012153
                      4,                 3.5051,                  3.277,                  1.418,                0.00094,                0.00453,                0.00056,                0.00015,                 4.0804,                  4.719,                 1.6383,              0.0012129,              0.0012129,              0.0012129
                      5,                 3.2307,                 2.9277,                 1.3405,                 0.2884,                0.03442,                0.01196,                0.00345,                 3.6023,                 2.7373,                 1.3057,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.1204,                 2.7435,                 1.2728,                0.00031,                0.00101,                0.00015,                  5e-05,                  4.418,                 9.2956,                 1.7522,              0.0011881,              0.0011881,              0.0011881
                      7,                 3.0006,                 2.6117,                  1.259,                0.00615,                0.03492,                0.00943,                0.00298,                 3.7222,                 3.3499,                 1.3637,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.9073,                 2.5187,                 1.2135,                0.30744,                0.04558,                0.02744,                 0.0074,                 3.2539,                 2.4231,                  1.201,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.8436,                 2.4463,                 1.1921,                0.00884,                0.07408,                0.00987,                0.00288,                 3.5238,                 3.3083,                 1.3053,               0.001151,               0.001151,               0.001151
                     10,                 2.8427,                 2.4346,                  1.184,                  0.292,                0.04829,                0.02967,                0.00816,                 3.1998,                 2.3958,                 1.1713,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.7434,                 2.3405,                 1.1785,                0.01342,                0.13628,                0.02257,                0.00663,                 3.2675,                 2.7436,                 1.1971,              0.0011263,              0.0011263,              0.0011263
                     12,                 2.7078,                 2.3309,                 1.1648,                0.31818,                 0.0651,                0.03559,                0.00973,                 3.1315,                 2.2456,                 1.1627,              0.0011139,              0.0011139,              0.0011139
                     13,                 2.7531,                 2.2973,                 1.1541,                0.01411,                0.12098,                0.01795,                0.00465,                 3.3127,                 3.0856,                 1.1924,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.7024,                 2.2156,                 1.1576,                0.00019,                0.00101,                 0.0001,                  5e-05,                 4.2801,                 4.3225,                 1.5834,              0.0010891,              0.0010891,              0.0010891
                     15,                 2.6749,                 2.1909,                 1.1574,                 0.3152,                 0.0663,                0.03944,                0.01037,                 3.2058,                 2.2111,                 1.1478,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.6716,                 2.1373,                 1.1504,                0.31722,                0.07777,                0.05167,                0.01449,                 3.0045,                 2.1477,                 1.1326,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.6194,                 2.1075,                 1.1442,                  0.006,                0.04158,                0.00708,                0.00232,                 3.8686,                 3.6627,                  1.379,               0.001052,               0.001052,               0.001052
                     18,                 2.6469,                  2.143,                 1.1273,                0.54686,                0.02762,                0.02729,                0.00735,                 3.1411,                 2.8367,                 1.2163,              0.0010396,              0.0010396,              0.0010396
                     19,                 2.6246,                 2.1116,                 1.1328,                0.34323,                0.07787,                 0.0456,                0.01236,                 3.0548,                 2.1057,                 1.1162,              0.0010273,              0.0010273,              0.0010273
                     20,                 2.5913,                 2.0352,                 1.1267,                0.32347,                0.08769,                0.05016,                0.01385,                 2.9363,                  2.074,                 1.0994,              0.0010149,              0.0010149,              0.0010149
                     21,                  2.567,                 2.0314,                 1.1242,                 0.3518,                0.08928,                0.05567,                0.01724,                 2.9707,                 2.0538,                 1.1318,              0.0010025,              0.0010025,              0.0010025
                     22,                 2.5638,                 2.0143,                 1.1138,                0.33544,                0.09821,                0.06997,                0.02011,                 2.8064,                 2.0241,                 1.1028,             0.00099013,             0.00099013,             0.00099013
                     23,                 2.5847,                 2.0021,                 1.1142,                0.33745,                 0.1113,                0.06452,                0.01932,                 2.8912,                 2.0628,                  1.107,             0.00097775,             0.00097775,             0.00097775
                     24,                 2.5414,                 1.9959,                 1.1271,                0.32486,                0.10446,                0.05524,                0.01494,                 3.1072,                 2.0821,                 1.1145,             0.00096537,             0.00096537,             0.00096537
                     25,                 2.5028,                 1.9577,                 1.1033,                0.00331,                0.01641,                0.00343,                0.00095,                 3.3754,                 3.5356,                 1.3371,               0.000953,               0.000953,               0.000953
                     26,                 2.5017,                 1.9331,                 1.0998,                0.82625,                 0.0498,                0.04522,                0.01213,                 3.0902,                 2.1733,                 1.1707,             0.00094062,             0.00094062,             0.00094062
                     27,                 2.4871,                 1.9399,                 1.1074,                0.33008,                0.09217,                0.06129,                0.01592,                 3.0111,                 1.9976,                 1.1074,             0.00092825,             0.00092825,             0.00092825
