                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.627,                 76.816,                 3.3608,                      0,                      0,                      0,                      0,                 2.9216,                  67.25,                 1.7027,              0.0004065,              0.0004065,              0.0004065
                      2,                 4.9357,                 12.374,                 2.6867,                      0,                      0,                      0,                      0,                 3.4306,                 14.422,                 2.2042,             0.00082045,             0.00082045,             0.00082045
                      3,                 3.9374,                 4.1649,                 1.6832,                 0.0009,                0.00694,                0.00059,                0.00019,                 4.5659,                  3.954,                 1.6906,              0.0012317,              0.0012317,              0.0012317
                      4,                 3.5323,                 3.2835,                 1.4211,                 0.0009,                0.00694,                0.00059,                0.00019,                0.19189,                 12.422,                0.41353,              0.0012376,              0.0012376,              0.0012376
                      5,                 3.2356,                  2.929,                 1.3355,                0.00066,                0.00214,                0.00095,                0.00015,                 4.5547,                 5.3067,                 1.8375,              0.0012335,              0.0012335,              0.0012335
                      6,                 3.1383,                 2.7746,                 1.2689,                0.01098,                0.12605,                 0.0145,                0.00365,                  3.516,                 2.7457,                 1.2781,              0.0012294,              0.0012294,              0.0012294
                      7,                 3.0127,                 2.6564,                 1.2611,                0.00435,                0.02871,                0.00515,                0.00153,                 3.4827,                 3.6764,                 1.4112,              0.0012252,              0.0012252,              0.0012252
                      8,                 2.9377,                 2.5638,                 1.2226,                0.58439,                0.05275,                0.02808,                0.00656,                 3.3724,                 2.3937,                 1.2336,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.9025,                 2.4971,                 1.1974,                0.01231,                0.10592,                0.01873,                0.00496,                 3.5142,                 3.1022,                  1.296,               0.001217,               0.001217,               0.001217
                     10,                 2.8657,                 2.4671,                 1.1873,                0.30061,                0.06711,                0.03339,                0.00865,                 3.2051,                 2.2953,                 1.1886,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.7651,                   2.36,                 1.1851,                 0.3191,                0.05629,                  0.037,                 0.0098,                 3.2015,                 2.2244,                  1.195,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.7452,                 2.3714,                 1.1723,                 0.3271,                 0.0668,                0.04001,                0.00985,                 3.1816,                 2.2148,                 1.1499,              0.0012046,              0.0012046,              0.0012046
                     13,                 2.7793,                 2.3388,                 1.1595,                0.01629,                0.12118,                0.02169,                0.00543,                 3.2768,                 2.8413,                 1.1981,              0.0012005,              0.0012005,              0.0012005
