                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.627,                 76.816,                 3.3608,                      0,                      0,                      0,                      0,                 2.9216,                  67.25,                 1.7027,              0.0004065,              0.0004065,              0.0004065
                      2,                 4.9381,                  12.35,                 2.6643,                      0,                      0,                      0,                      0,                 7.0459,                 46.251,                  3.692,             0.00081502,             0.00081502,             0.00081502
                      3,                 3.9275,                 4.1323,                 1.6905,                0.00139,                0.01335,                0.00086,                0.00021,                 4.5644,                 3.8338,                 1.6809,              0.0012153,              0.0012153,              0.0012153
                      4,                 3.5051,                  3.277,                  1.418,                0.00102,                0.00481,                 0.0006,                0.00016,                 4.1133,                 4.6286,                 1.6191,              0.0012129,              0.0012129,              0.0012129
