                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.983,                 1.0583,                0.97524,                0.63069,                0.31687,                0.28557,                0.08317,                 2.5467,                 1.4154,                 1.0356,              0.0004065,              0.0004065,              0.0004065
                      2,                 2.0214,                 1.0779,                0.99431,                0.47087,                0.26855,                0.15632,                0.05528,                 2.6315,                 1.6218,                 1.0668,             0.00081665,             0.00081665,             0.00081665
                      3,                 2.0586,                 1.1184,                0.98267,                0.57169,                0.23489,                 0.2169,                0.07459,                 2.5564,                 1.5479,                 1.0484,              0.0012202,              0.0012202,              0.0012202
                      4,                 2.0832,                 1.1576,                0.98482,                0.05567,                0.10414,                0.04955,                 0.0153,                 3.1188,                 3.7149,                 1.1891,              0.0012203,              0.0012203,              0.0012203
                      5,                 2.0721,                 1.1518,                 1.0029,                 0.3292,                0.32756,                0.31865,                0.11718,                  2.455,                  1.457,                 1.0179,              0.0012104,              0.0012104,              0.0012104
                      6,                 2.1069,                 1.2103,                 1.0089,                 0.0965,                0.05357,                0.05868,                0.01878,                 3.0643,                 4.8394,                 1.1678,              0.0012005,              0.0012005,              0.0012005
                      7,                  2.105,                 1.1733,                 1.0008,                0.33826,                0.10056,                0.05282,                0.01512,                 3.0631,                 2.5989,                 1.1831,              0.0011906,              0.0011906,              0.0011906
                      8,                 2.0734,                 1.1645,                0.99501,                0.60574,                0.40579,                0.34712,                0.12698,                 2.5154,                 1.5202,                 1.0386,              0.0011807,              0.0011807,              0.0011807
                      9,                 2.0564,                 1.1204,                 1.0017,                0.29819,                0.31597,                0.24637,                0.06233,                 2.6543,                 1.5093,                 1.0507,              0.0011708,              0.0011708,              0.0011708
                     10,                 2.0557,                 1.1316,                 0.9886,                0.50618,                0.23468,                0.18233,                0.05729,                  2.638,                 1.6881,                  1.072,              0.0011609,              0.0011609,              0.0011609
                     11,                 2.0569,                 1.1444,                 1.0034,                0.22167,                0.33962,                0.30404,                 0.0939,                 2.6649,                 1.4972,                 1.0615,               0.001151,               0.001151,               0.001151
                     12,                 2.0801,                  1.154,                 1.0039,                 0.0466,                0.08525,                0.03606,                0.01241,                 3.1713,                 4.4271,                 1.1421,              0.0011411,              0.0011411,              0.0011411
                     13,                 2.1292,                 1.1789,                 1.0061,                 0.0466,                0.08525,                0.03606,                0.01241,                 3.8676,                 7.4624,                 1.4313,              0.0011312,              0.0011312,              0.0011312
                     14,                 2.0635,                 1.1704,                0.99426,                0.34482,                0.06206,                0.05851,                0.01697,                 2.9893,                 2.4328,                 1.1897,              0.0011213,              0.0011213,              0.0011213
                     15,                 2.0418,                 1.1169,                0.98908,                0.30969,                0.45097,                0.34976,                0.13676,                 2.5997,                 1.5033,                 1.0408,              0.0011114,              0.0011114,              0.0011114
                     16,                 2.0708,                 1.1363,                0.98887,                0.44729,                0.25593,                0.13615,                0.04322,                 2.6886,                 1.7306,                 1.0781,              0.0011015,              0.0011015,              0.0011015
                     17,                  2.047,                 1.1197,                0.99019,                0.35663,                0.31928,                0.29153,                0.09659,                 2.5895,                 1.5026,                 1.0426,              0.0010916,              0.0010916,              0.0010916
                     18,                 2.0817,                 1.1458,                0.98783,                0.59426,                0.30257,                0.38039,                0.11774,                 2.6475,                 1.5833,                 1.0515,              0.0010817,              0.0010817,              0.0010817
                     19,                 2.0782,                 1.1707,                 1.0036,                0.03698,                0.00985,                 0.0194,                0.00205,                 3.6347,                 6.2692,                 1.2947,              0.0010718,              0.0010718,              0.0010718
                     20,                 2.0899,                  1.165,                0.99464,                0.49883,                0.23491,                0.23094,                0.08027,                 2.5024,                 1.5024,                 1.0124,              0.0010619,              0.0010619,              0.0010619
                     21,                 2.0175,                 1.0886,                0.99123,                0.39952,                0.20621,                0.13344,                0.03932,                  2.673,                 1.7165,                 1.0751,               0.001052,               0.001052,               0.001052
                     22,                 2.0504,                 1.1212,                 1.0056,                0.56272,                0.26488,                0.25074,                0.07595,                 2.5417,                 1.5761,                 1.0288,              0.0010421,              0.0010421,              0.0010421
                     23,                 2.0403,                 1.1111,                0.99716,                0.45532,                0.09661,                 0.1081,                0.03168,                   2.86,                 2.9221,                 1.1133,              0.0010322,              0.0010322,              0.0010322
                     24,                 2.0269,                 1.1028,                0.98856,                0.53687,                0.29702,                0.24605,                0.06701,                 2.6154,                 1.5609,                 1.0606,              0.0010223,              0.0010223,              0.0010223
                     25,                 2.0414,                 1.1198,                0.99373,                 0.3253,                0.35017,                0.27304,                0.08005,                 2.6361,                 1.5215,                 1.0451,              0.0010124,              0.0010124,              0.0010124
                     26,                 2.0645,                 1.1091,                0.99902,                0.19179,                0.13159,                0.12409,                0.03156,                 2.8729,                  2.196,                 1.1109,              0.0010025,              0.0010025,              0.0010025
                     27,                 2.0644,                 1.1182,                0.99007,                0.04545,                0.00358,                0.02341,                0.00546,                  3.388,                 6.1222,                 1.3409,              0.0009926,              0.0009926,              0.0009926
                     28,                 2.0667,                 1.1159,                0.99046,                0.06944,                 0.1586,                0.07977,                0.02272,                  3.058,                 2.8848,                 1.1611,              0.0009827,              0.0009827,              0.0009827
                     29,                 2.0179,                 1.0876,                0.98938,                 0.0837,                0.03133,                0.04856,                0.01719,                 3.1699,                 4.9785,                 1.1972,              0.0009728,              0.0009728,              0.0009728
                     30,                 2.0152,                 1.0863,                0.97835,                0.57171,                0.35805,                0.30688,                0.10905,                 2.5714,                 1.4801,                 1.0352,              0.0009629,              0.0009629,              0.0009629
                     31,                 1.9698,                 1.0661,                0.97497,                0.29655,                0.31484,                 0.2378,                0.06735,                 2.6302,                 1.5912,                  1.049,               0.000953,               0.000953,               0.000953
                     32,                 2.0216,                 1.0863,                0.98883,                0.26674,                0.36805,                0.26372,                0.09026,                 2.5656,                  1.499,                 1.0393,              0.0009431,              0.0009431,              0.0009431
                     33,                 2.0243,                  1.087,                0.98757,                0.57449,                0.30478,                0.27894,                0.09176,                  2.516,                 1.4705,                  1.034,              0.0009332,              0.0009332,              0.0009332
                     34,                 2.0001,                 1.0807,                0.98712,                0.56922,                0.32626,                0.30446,                0.09543,                 2.4659,                 1.4597,                 1.0345,              0.0009233,              0.0009233,              0.0009233
                     35,                 2.0109,                 1.0739,                 0.9851,                0.52461,                0.29815,                0.28375,                0.10178,                 2.5842,                 1.4856,                 1.0456,              0.0009134,              0.0009134,              0.0009134
                     36,                 2.0137,                 1.0969,                0.98284,                0.56841,                0.30379,                 0.2713,                0.09174,                 2.5132,                 1.6034,                 1.0284,              0.0009035,              0.0009035,              0.0009035
                     37,                 2.0186,                 1.0879,                0.99075,                0.35315,                0.33111,                0.30409,                0.10737,                 2.5037,                 1.4941,                 1.0364,              0.0008936,              0.0008936,              0.0008936
                     38,                 2.0163,                  1.096,                0.98158,                0.06592,                 0.0661,                0.04588,                0.01381,                 3.1865,                  4.102,                  1.203,              0.0008837,              0.0008837,              0.0008837
                     39,                 1.9906,                 1.0745,                0.99281,                0.44298,                0.28108,                0.14714,                0.04999,                  2.628,                  1.677,                 1.0618,              0.0008738,              0.0008738,              0.0008738
                     40,                 1.9993,                 1.0805,                0.99424,                0.28251,                0.24295,                 0.1754,                0.04921,                 2.7328,                 1.9762,                 1.0704,              0.0008639,              0.0008639,              0.0008639
                     41,                 2.0004,                 1.0621,                0.98687,                0.58482,                0.25447,                0.25318,                  0.086,                 2.5612,                 1.4631,                 1.0331,               0.000854,               0.000854,               0.000854
                     42,                 1.9625,                 1.0429,                0.97773,                0.62554,                 0.3429,                0.31163,                0.11291,                 2.4841,                 1.5772,                   1.03,              0.0008441,              0.0008441,              0.0008441
                     43,                 1.9845,                 1.0587,                0.98489,                0.67392,                0.32171,                0.35754,                0.13626,                 2.4881,                 1.4434,                 1.0275,              0.0008342,              0.0008342,              0.0008342
                     44,                 1.9622,                 1.0529,                0.97816,                 0.5549,                0.35606,                0.27063,                0.08083,                 2.6248,                 1.4678,                 1.0456,              0.0008243,              0.0008243,              0.0008243
                     45,                 1.9622,                 1.0395,                0.97793,                  0.084,                0.07625,                0.05389,                0.01829,                 3.0293,                 4.2305,                 1.1721,              0.0008144,              0.0008144,              0.0008144
                     46,                  1.957,                 1.0389,                0.98124,                0.52875,                0.25452,                0.21106,                0.07959,                 2.6412,                 1.4944,                 1.0527,              0.0008045,              0.0008045,              0.0008045
                     47,                 1.9971,                 1.0556,                0.97312,                0.07833,                0.07385,                0.05455,                0.01603,                 3.1346,                 4.0876,                 1.1853,              0.0007946,              0.0007946,              0.0007946
                     48,                 1.9497,                 1.0304,                0.97566,                0.66967,                0.34007,                0.35304,                0.11547,                 2.4908,                 1.4195,                 1.0325,              0.0007847,              0.0007847,              0.0007847
                     49,                 1.9519,                 1.0128,                0.97635,                 0.2913,                0.28054,                0.21433,                0.07695,                 2.5412,                 1.4648,                 1.0414,              0.0007748,              0.0007748,              0.0007748
                     50,                 2.0025,                   1.08,                0.98368,                0.29432,                 0.4388,                0.29845,                0.10596,                 2.5188,                 1.4769,                 1.0341,              0.0007649,              0.0007649,              0.0007649
                     51,                 1.9502,                 1.0317,                0.96936,                0.55939,                0.36354,                0.31014,                0.10489,                 2.5465,                 1.4775,                  1.039,               0.000755,               0.000755,               0.000755
                     52,                 1.9623,                 1.0305,                0.98357,                0.33177,                0.50266,                0.33665,                0.10753,                 2.4613,                 1.5214,                 1.0221,              0.0007451,              0.0007451,              0.0007451
                     53,                 1.9486,                 1.0337,                0.98305,                0.49817,                0.22602,                0.19045,                0.05941,                 2.6925,                  1.734,                 1.0577,              0.0007352,              0.0007352,              0.0007352
                     54,                 1.9423,                 1.0162,                0.97025,                0.60324,                0.30887,                0.28767,                0.08339,                 2.5766,                 1.4778,                 1.0326,              0.0007253,              0.0007253,              0.0007253
                     55,                 1.9397,                 1.0347,                0.96869,                 0.2965,                0.29517,                0.26807,                0.08413,                 2.5926,                  1.598,                 1.0531,              0.0007154,              0.0007154,              0.0007154
                     56,                 1.9459,                 1.0112,                0.97329,                0.63612,                0.35245,                0.36346,                0.11432,                 2.5206,                 1.4983,                 1.0363,              0.0007055,              0.0007055,              0.0007055
